key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_!scm_legendary
kho_mardagg	vmp_infantry_scythe	heroes_agents
kou_aurelion_ll	wh2_main_lore_high	heroes_agents
kou_skaw_lh	wh2_dlc14_lord_spear_whip	heroes_agents
kou_talarian	wh2_main_hef_loremaster	heroes_agents
phy_grombold_kruddsson	infantry_pickaxe	heroes_agents
phy_juggo	wh2_pro08_cha_gotrek	heroes_agents
phy_prince_kazrik	infantry_axe_dual	heroes_agents
phy_torston	infantry_axe_great	heroes_agents
scyla_type	scyla_type	heroes_agents
shadowblade_type	wh2_main_def_spy	heroes_agents
slambo_type	infantry_axe_dual	heroes_agents
str_abrax	infantry_axe_dual	commander
str_crom	infantry_axe_dual	commander
str_eogric	infantry_axe_great	heroes_agents
str_frostmaw	wh3_ksl_elemental_bear	heroes_agents
str_halagrundsor	wh3_ogr_monstrous_great_weapons	heroes_agents
str_herumar	war_beast	heroes_agents
str_ilja	wh3_ksl_bow_axe_infantry	heroes_agents
str_katerina	infantry_spear	heroes_agents
str_khoros	missile_cavalry_axe	heroes_agents
str_kineater	wh3_ogr_monstrous_great_weapons	heroes_agents
str_lurklox	wh3_dlc24_mon_incarnate_elemental_of_beasts	heroes_agents
str_serkhet	wh2_dlc09_tmb_scorpion	heroes_agents
str_slavin	wh2_main_infantry_dual_swords	commander
str_targog	wh3_main_ogr_hunter	commander
str_ungrol	infantry_axe_dual	heroes_agents
str_vaslo	wh3_dlc20_kho_skullcrushers_lance	heroes_agents
str_vazgrat	wh3_ogr_monstrous_pistol	commander
str_xian	infantry_spear_halberd	heroes_agents
ulrika_type	wh3_ksl_bow_dual_swords_infantry	heroes_agents
wh2_skv_cha_ska_bloodtail	infantry_axe_great	heroes_agents
