key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_!landmarks_of_legend_wh
axe_brothers	axe_brothers	infantry
badland_rangers	badland_rangers	missile_infantry
bearded_skull_miners	bearded_skull_miners	infantry
children_of_doom	children_of_doom	infantry
cuileux_knights	cuileux_knights	cavalry_chariots
dalmark_militia	dalmark_militia	infantry
dragon_company	dragon_company	missile_infantry
dwarf_skeletons	dwarf_skeletons	infantry
greybeard_mining_drill	wh2_dlc14_skv_warp_grinder	artillery_war_machines
gutbusters_gutbusters	gutbusters_gutbusters	campaign_exclusives
knights_of_grande	knights_of_grande	cavalry_chariots
lahmian_ror	lahmian_ror	infantry
twelve_arms_assassins	twelve_arms_assassins	campaign_exclusives
