key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_str_skaven_clans
cr_skv_mon_giant_rat	wh2_dlc16_skv_brood_horror	monster_beasts
ferrik_iron_rats	wh_main_dwf_runesmith	infantry
str_gnaw_beaststalker	wh2_main_missile_infantry_javelin	heroes_agents
str_gnaw_boar_wranglers	wh_dlc03_bst_razorgor	infantry
str_gnaw_duneskulk	wh2_dlc16_skv_packmaster	commander
str_gnaw_overseer	wh2_dlc16_skv_ghoritch	commander
str_gnaw_wildspeaker	wh2_dlc16_skv_packmaster	heroes_agents
str_kreepus_bombadier	wh2_main_skv_missile_infantry_globe_death	heroes_agents
str_kreepus_night_runners	wh2_main_skv_spy	infantry
str_kreepus_verminkin	wh2_main_skv_missile_infantry_throwing_star	missile_infantry
str_lord_dual_swords	wh2_main_infantry_dual_swords	commander
str_lord_sling	wh2_main_missile_infantry_sling	commander
str_misericorde	wh2_dlc14_lore_stealth	commander
str_night_runners	wh2_main_skv_missile_infantry_throwing_star	infantry
str_tenscratch	wh2_dlc16_skv_packmaster	commander
str_verminkin	str_verminkin	missile_infantry
str_verms_scorp_group	wh2_dlc09_tmb_scorpion	monster_beasts
str_verms_swarmcaller	wh2_dlc16_skv_packmaster	heroes_agents
str_verms_swarmleader	wh2_dlc16_skv_ghoritch	commander
