key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_jade_vamp_pol_IotM
cth_ghost	cth_ghost	monster_beasts
cth_ghost_dagger	cth_ghost_dagger	infantry
cth_ghost_fire	cth_ghost_fire	infantry
cth_ghost_flying	cth_ghost_flying	missile_monster_beasts
cth_ghost_greater	cth_ghost_greater	monster_beasts
cth_ghost_spear	cth_ghost_spear	infantry
cth_jiangshi	cth_jiangshi_p	infantry
cth_jiangshi_2	cth_jiangshi_2	infantry
cth_jiangshi_3	cth_jiangshi_3	infantry
hef_hybrd_swords	wh2_main_def_missile_infantry_bow_shades_dual_weapons	missile_infantry
jbv_courtesan	jbv_courtesan	heroes_agents
jbv_devil_infantry	jbv_monster_inf	infantry
jbv_faithfuls	jbv_faithfuls	infantry
jbv_giant	jbv_giant	monster_beasts
jbv_guandao_cav	jbv_guandao_cav	cavalry_chariots
jbv_monster	jbv_monster	monster_beasts
jbv_monstrous_infantry	jbv_monster	monster_beasts
