key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_Trajanns_Khorne_Compilation
traj_assassin	wh3_dlc26_commander_small	commander
traj_azrakaar	wh3_dlc26_commander_small	commander
traj_azrakaar_mounted	wh3_dlc26_commander_small	commander
traj_blood_dragon_dragon	wh3_dlc26_commander_small	commander
traj_blood_dragon_human	wh3_dlc26_commander_small	commander
traj_bloodqueen_lord	wh3_dlc26_commander_small	commander
traj_bloodqueen_lord_dragon	wh3_dlc26_commander_small	commander
traj_bloodqueen_lord_griffon	wh3_dlc26_commander_small	commander
traj_bloodqueen_lord_raptor	wh3_dlc26_commander_small	commander
traj_brute	wh2_main_lzd_champion	heroes_agents
traj_butcher	wh3_dlc26_commander_small	commander
traj_castellan	wh3_dlc26_commander_small	commander
traj_elder	wh3_dlc26_commander_small	commander
traj_gormak	infantry_axe_great_grn	heroes_agents
traj_hespia	wh3_dlc26_commander_small	commander
traj_hespia_mounted_dragon	wh3_dlc26_commander_small	commander
traj_hespia_mounted_griffon	wh3_dlc26_commander_small	commander
traj_hespia_mounted_raptor	wh3_dlc26_commander_small	commander
traj_hunter	wh3_dlc26_commander_small	commander
traj_judge	wh3_dlc26_commander_small	commander
traj_khazdrakk	wh3_dlc23_chd_cha_infernal_castellan	heroes_agents
traj_kho_razordon_ancient	wh2_dlc17_lzd_razordon	missile_monster_beasts
traj_kho_skaven_engineer	wh2_main_lore_ruin	heroes_agents
traj_kho_skaven_warlock	wh3_dlc26_commander_small	commander
traj_khorgoth	wh_dlc03_bst_gorebull	heroes_agents
traj_lord_bloodflame_slann	wh3_dlc26_commander_small	commander
traj_lord_bloodflame_slann_stegadon	wh3_dlc26_commander_small	commander
traj_lord_decimator_alpha	wh3_dlc26_commander_small	commander
traj_lord_slaughter_warden	wh3_dlc26_commander_small	commander
traj_lord_slaughter_warden_carnosaur	wh3_dlc26_commander_small	commander
traj_lord_slaughter_warden_horned_one	wh3_dlc26_commander_small	commander
traj_prophet	wh_main_lore_fire	heroes_agents
traj_saurus_blood_veteran	wh2_main_lzd_champion	heroes_agents
traj_saurus_blood_veteran_carnosaur	wh2_main_lzd_champion	heroes_agents
traj_saurus_blood_veteran_horned_one	wh2_main_lzd_champion	heroes_agents
traj_skink_bloodbarb_assassin	wh2_main_lzd_spy	heroes_agents
traj_skink_bloodbarb_assassin_terradon	wh2_main_lzd_spy	heroes_agents
traj_skink_bloodbarb_assassin_troglodon	wh2_main_lzd_spy	heroes_agents
traj_skink_bloodflame_priest	wh_main_lore_fire	heroes_agents
traj_skink_bloodflame_priest_stegadon	wh_main_lore_fire	heroes_agents
traj_skink_bloodflame_priest_terradon	wh_main_lore_fire	heroes_agents
traj_skorrog	wh3_dlc26_commander_small	commander
traj_skorrog_mounted	wh3_dlc26_commander_small	commander
traj_skymaster	wh2_main_lzd_spy	heroes_agents
traj_slayer	wh2_main_lzd_champion	heroes_agents
