key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_@ghs_dwf_dwfling_mecha
dwf_missile_dwfling_mecha	musket	small_arm_default		none	1	low	160	0	88	220.0	70.0000	0.0000	3	7	false	false	0.0500	6.0000	150.0000	2.0000	0	0	dwf_missile_dwfling_mecha		wh_bullet_multi_impact	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	low_3	-1	false	false	false	true	18	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
dwf_missile_mecha_dwfling	artillery	artillery_explosive	dwf_missile_mecha_dwfling_explosion	none	1	low	110	0	55	160.0	70.0000	0.0000	2	5	false	false	1.0000	8.0000	120.0000	1.2000	0	0	dwf_missile_mecha_dwfling_fire		wh_bullet_multi_impact	-1.0000	false	wh_dlc06_unit_contact_discouraged	-1.0000	1	0.0000	10.0000			1.0000	false	true	true	45	medium	-1	false	false	false	true	18	false	false	false	true	1.0000		false	1.0000	0.4000		placeholder
skv_mon_hellpit_ratling	musket	small_arm_default		none	1	low	250	0	88	200.0	10.0000	0.0000	5	18	false	false	0.0500	5.0000	120.0000	3.0000	0	0	skv_mon_hellpit_ratling		wh2_dlc12_warplock_jezzail_bullet	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	medium_1	-1	false	false	false	false	32	true	false	false	true	1.0000		false	0.4200	0.4000		placeholder
skv_hellpit_ratling_rider	musket	small_arm_default		none	2	low	120	0	88	200.0	10.0000	1.5000	2	6	false	false	0.0500	5.0000	70.0000	2.7000	0	0	wh2_dlc12_skv_ratling_gun		wh2_dlc12_bullet_ratling_gun	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	-1	false	false	false	false	18	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
skv_mon_hellpit_lightling	artillery	artillery_default	wh2_main_skv_warp_lightning	none	1	low	430	0	50	220.0	30.0000	0.0000	80	260	false	false	0.1000	21.0000	275.0000	9.0000	0	70	wh2_main_skv_warp_lightning		wh2_main_skv_warp_lightning_cannon	0.4000	true	wh2_dlc12_unit_passive_zzzap	6.0000	1	0.0000	300.0000	homing_strong_magical		0.0000	true	true	true	45	very_high_low_entity	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
skv_mon_hellpit_warpflame1	artillery	artillery_flammable	skv_mon_hellpit_warpflame_explosion	none	1	low	130	0	88	80.0	10.0000	0.0000	10	20	false	false	1.0000	8.0000	75.0000	2.0000	0	0	wh2_dlc11_necrofex_flamethrower		wh3_main_tze_projectile_flamer	1.5000	false	wh_main_unit_contact_morale	1.0000	1	0.0000	15.0000			10.0000	true	true	true	45	low	-1	false	true	false	true	3	true	false	true	true	2.0000		false	1.4000	0.4000		placeholder
skv_mon_hellpit_warpflame	artillery	artillery_flammable	skv_mon_hellpit_warpflame_explosion	none	9	low	150	0	88	70.0	10.0000	3.0000	10	20	false	false	1.0000	10.0000	75.0000	2.0000	0	0	skv_mon_hellpit_warpflame		wh3_main_tze_projectile_flamer	1.5000	false	wh_main_unit_contact_morale	3.0000	3	0.8000	30.0000			1.0000	true	true	true	45	medium	-1	false	true	false	true	1	true	false	true	true	2.0000		false	1.4000	0.4000		placeholder
skv_mon_hellpit_warpflame2	misc	artillery_default	wh2_main_def_war_hydra_explosion	none	1	low	130	15	88	100.0	60.0000	0.0000	54	32	false	false	1.0000	6.0000	80.0000	22.0000	0	0	wh2_def_hydra_dragon_breath		wh2_dragon_breath_flame_multi	1.0000	false		6.0000	1	0.0000	45.0000			1.0000	false	true	true	45	medium	100	false	true	false	true	9	true	false	true	true	2.0000		false	0.8400	0.4000		placeholder
skv_warpflamer_rider	musket	artillery_flammable	wh2_main_skv_warpfire	none	1	low	80	0	55	60.0	10.0000	0.0000	8	3	false	false	1.0000	14.0000	40.0000	1.7000	0	0	skv_warpflamer_rider		wh2_warpfiregun_flame	-1.0000	false	wh_main_unit_contact_morale	3.0000	1	0.0000	40.0000			1.0000	true	true	true	45	low	85	false	true	false	true	4	false	false	false	true	2.0000		false	1.4000	0.4000		placeholder
skv_hellpit_globe_rider	artillery	artillery_default	wh2_main_skv_poison_wind_globe	grenade_spin	2	dual_low_fixed	85	4	88	60.0	10.0000	1.5000	0	15	false	false	0.1000	11.0000	60.0000	8.0000	0	0	wh2_main_skv_poison_wind_globe		wh2_main_skv_poison_wind_globe	-1.0000	false	wh2_dlc14_unit_contact_poisoned_wind	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	true	1.0000		false	1.4000	0.4000		placeholder
