key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_@xou_emp
cr_bound_spell_storm_of_shemtek	artillery	artillery_default	cr_bound_spell_storm_of_shemtek	none	1	low	160	10	45	300.0	10.0000	0.0000	200	150	false	false	1.0000	11.0000	120.0000	1.0000	0	0	cr_bound_spell_storm_of_shemtek		cr_hurricanum_bolt	1.0000	true		1.0000	1	0.0000	350.0000			0.0000	true	true	true	45	medium_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
emp_huntsmaster_0	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	130.0	100.0000	0.0000	207	143	false	false	0.1000	8.0000	80.0000	0.2000	0	100	wh2_dlc13_emp_bow_arrow		wh_crossbow_bolt_normal_LH_multi_impact	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	medium	300	false	false	false	true	1	false	false	false	true	0.2500		false	0.6500	0.4000		placeholder
snek_iron_colossus_cannon	artillery	artillery_default		none	4	low	250	0	45	220.0	20.0000	2.0000	40	150	true	false	0.2000	12.0000	225.0000	10.0000	0	0	snek_iron_colossus_cannon		wh_cannon_cannonball_normal	0.3000	true		-1.0000	1	0.0000	340.0000			0.0000	false	true	true	45	very_high_low_entity	700	false	false	true	false	1	true	false	true	true	1.0000		false	0.4200	0.4000		snek_iron_colossus_cannon
snek_iron_colossus_cannon_canister	artillery	artillery_canister		none	40	low	170	0	45	240.0	20.0000	15.0000	14	32	true	false	0.0500	10.0000	250.0000	10.0000	0	0	wh_emp_volley_gun_shot		wh_bullet	-1.0000	true		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	low	700	false	false	false	false	1	true	false	true	true	1.0000		false	0.4200	0.4000		snek_iron_colossus_cannon_canister
snek_iron_colossus_cannon_explosive	artillery	artillery_explosive	wh3_main_cth_rocket_explosion	none	4	low	250	0	45	220.0	20.0000	2.0000	33	137	true	false	0.2000	12.0000	225.0000	10.0000	0	0	snek_iron_colossus_cannon		wh_cannon_cannonball_normal	0.3000	true		-1.0000	1	0.0000	340.0000			0.0000	false	true	true	45	very_high_low_entity	700	false	false	true	false	1	true	false	true	true	1.0000		false	0.4200	0.4000		snek_iron_colossus_cannon_explosive
wh_emp_rifle_gunner_rocket	artillery	artillery_explosive	wh_main_unit_abilities_gyrocopter_grenade	none	1	low	300	40	65	168.0	10.0000	0.0000	63	36	false	false	0.2500	10.0000	400.0000	10.0000	0	0	wh_emp_rifle_gunner_rocket		wh_helstorm_rocket	0.4000	true		-1.0000	1	0.0000	1.0000			1.0000	false	true	true	45	low	800	false	false	false	false	7	false	false	false	true	2.0000		false	0.0000	0.4000		placeholder
wh_emp_rifle_iron_colossus	artillery	artillery_explosive	wh2_dlc14_emp_rocket_explosion_sunmaker	none	1	low	250	40	65	144.0	10.0000	0.0000	30	70	false	false	0.2500	25.0000	250.0000	10.0000	0	0	wh_emp_sunmaker_rocket		wh_helstorm_rocket	0.4000	true		-1.0000	1	0.0000	1.0000			15.0000	false	true	true	45	low	800	false	false	false	false	9	false	false	false	true	2.0000		false	0.0000	0.4000		placeholder
wh_emp_rifle_iron_colossus0	musket	small_arm_default		none	1	low	150	0	88	320.0	10.0000	0.0000	10	40	false	false	0.0500	13.0000	100.0000	1.8000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		0.5000	16	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
wh_emp_rifle_iron_colossus_0	musket	small_arm_default	wh_main_emp_grenade_explosion	axe_spin	12	dual_low_fixed	80	5	88	80.0	10.0000	4.0000	5	10	false	false	0.0500	2.0000	85.0000	1.6000	0	0	iron_colossus_rider_flamethrower		wh_drakegun_flame	-1.0000	false		20.0000	1	0.0000	5.0000			1.0000	false	true	true	45	very_low	300	false	false	false	true	1	false	false	false	false	1.0000		false	0.4200	0.4000		placeholder
wh_main_spell_bound_comet_of_sigmar	misc	artillery_explosive	wh_main_spell_heavens_comet_of_casandora	shell_spin	1	low	200	25	50	150.0	30.0000	0.0000	400	400	false	false	2.0000	1.0000	250.0000	1.0000	0	0	wh_main_spell_heavens_comet_of_casandora		wh_magic_comet_of_casandora	3.5000	true		-1.0000	1	0.0000	1000.0000			0.0000	true	true	true	45	all	-1	false	false	false	true	1	false	false	true	true	0.2500		false	0.5600	0.4000		placeholder
