key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_str_skaven_clans
bc_virulent_batteries	warmachines/engines/skv_plagueclaw/skv_plagueclaw_01_destroyed.rigid_model_v2	skv_plagueclaw_catapult_destruct	Generic_3_Crew	wm_plagueclaw_catapult01	bc_virulent_proj	skv_plagueclaw_catapult	wh2_main_skv_art_plagueclaw_catapult										all_riders_shooting	1.0000
clan_vrrtkin_gasthrower_engine	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	skv_lightning_cannon_destruct	Generic_3_Crew	wm_lightning_cannon01	clan_vrrtkin_gasthrower_missle	skv_lightning_cannon	wh2_main_skv_art_warp_lightning_cannon										all_riders_shooting	1.0000
clan_vrrtkin_globeclaw_catapult_engine	warmachines/engines/skv_plagueclaw/skv_plagueclaw_01_destroyed.rigid_model_v2	skv_plagueclaw_catapult_destruct	Generic_3_Crew	wm_plagueclaw_catapult01	clan_vrrtkin_globeclaw_catapult_missle	str_vrrtkin_globerain	wh2_main_skv_art_plagueclaw_catapult										all_riders_shooting	1.0000
clan_vrrtkin_mortar_engine	warmachines\engines\cst_mortar\cst_mortar_destroyed_01.wsmodel	cst_mortar_destruct	Generic_3_Crew	wm_mortar01	clan_vrrtkin_mortar_missle	vrr_mortar	wh2_dlc11_cst_art_mortar						warmachines/engines/skv_doom_flayer/vrr_mortar_destruct_01.wsmodel				all_riders_shooting	1.0000
clan_vrrtkin_veh_doom_flayer	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destroyed.rigid_model_v2	skv_doom_flayer_destruct	Generic_No_Crew_Rotate	wm_dlc12_doomflayer01		skv_doom_flayer_tech_lab_ror	wh2_dlc12_skv_vehicle_doom_flayer				warmachines\engines\skv_doom_flayer\tech		warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.wsmodel	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.anim	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.meta		all_riders_shooting	1.0000
clan_vrrtkin_veh_doomwheel	warmachines/engines/skv_doomwheel/skv_doom_wheel_01_destroyed.rigid_model_v2	skv_doomwheel_destruct	Generic_No_Crew_Rotate	wm_doomwheel01		skv_doomwheel_tech_lab_ror	wh2_dlc12_skv_vehicle_doomwheel_ikit				warmachines\engines\skv_doomwheel\tech						all_riders_shooting	1.0000
cr_skv_veh_portage_chariot		skv_portage_chariot_destruct	Generic_No_Crew_Rotate	wm_land_ship01	liger_skv_bombs	skv_portage_chariot	cr_skv_portaged_ship				warmachines/engine/skv_portaged_ship/tech						all_riders_shooting	1.0000
hcs_ror_blackarc	warmachines/engines/skv_lightning_cannon/skv_lightning_cannon_zap_01_destroyed.wsmodel	skv_lightning_cannon_destruct_ror	Generic_3_Crew	wm_lightning_cannon01	hcs_ror_blackarc_proj	skv_lightning_cannon_ror	wh2_main_skv_art_warp_lightning_cannon						warmachines/engines/skv_lightning_cannon/skv_lightning_cannon_zap_01_destruct.wsmodel	warmachines/engines/skv_lightning_cannon/skv_lightning_cannon_01_destruct.anim	warmachines/engines/skv_lightning_cannon/skv_lightning_cannon_01_destruct.meta		all_riders_shooting	1.0000
liger_skurvy_skv_art_warplightning_cannon	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	skv_lightning_cannon_destruct	Generic_3_Crew	wm_lightning_cannon01	liger__skv_warp_lightning	skv_lightning_cannon	liger_skurvy_skv_art_warp_lightning_cannon										all_riders_shooting	1.0000
liger_skv_art_helstorm_rocket_battery_engine	warmachines\engines\skv_warpstrom_rocket_battery\skv_warpshard_rocket_battery_destroyed.rigid_model_v2	emp_helstorm_destruct	Generic_3_Crew	wm_helstorm01	liger_skv_warlock_doomrocket	skv_warpstrom_rocket_battery	wh_main_emp_art_helstorm										all_riders_shooting	1.0000
mcr_skv_art_skurvy_warpcannon	warmachines/engines/skv_skurvy_warpcannon/skv_skurvy_warpcannon_01_destroyed.wsmodel	skv_skurvy_warpcannon_destruct	Generic_3_Crew	wm_great_cannon01	liger_skv_warpcannon	skv_skurvy_warpcannon	wh2_main_skv_art_warp_lightning_cannon										all_riders_shooting	1.0000
nathan_rat_mount_cart_engine	warmachines\chariot\vmp_corpse_cart\vmp_corpse_cart_helman_01_destroyed.rigid_model_v2	vmp_corpse_cart_helman_destruct	Generic_No_Crew_Rotate	wm_corpsecart01_helman		nathan_rat_mount_cart_engine	wh_dlc01_veh_chs_chariot_gorebeast			ap_draughtposition	warmachines\chariot\vmp_corpse_cart\tech	ap_crewposition					all_riders_shooting	1.0000
skv_pox_cauldron	warmachines/engines/skv_pox_cauldron/skv_pox_cauldron_01_destroyed.rigid_model_v2	skv_screaming_bell_destruct	Generic_No_Crew_Rotate	wm_pox_cauldron		skv_pox_cauldron	bc_cauldron				warmachines\engines\skv_pox_cauldron\tech						all_riders_shooting	1.0000
skv_skurvy_veh_screaming_bell	warmachines/engines/skv_screaming_bell/skv_screaming_bell_01_destroyed.rigid_model_v2	skv_screaming_bell_destruct	Generic_No_Crew_Rotate	wm_screamingbell01		skv_skurvy_screaming_bell	wh2_main_skv_vehicle_screaming_bell				warmachines\engines\skv_screaming_bell\tech						all_riders_shooting	1.0000
str_garbag_plague_chariot	warmachines\chariot\grn_wolf_chariot\grn_wolf_chariot_01_destroyed.rigid_model_v2	grn_wolf_chariot_destruction	Generic_No_Crew_Rotate	wm_wolf_chariot01		str_urgat_wolf_chariot	str_urgat_wolf_chariot			ap_draughtposition	warmachines/chariot/str_urgat_wolf_chariot/tech	ap_crewposition					all_riders_shooting	1.0000
str_gnaw_spear_chukka	warmachines\engines\ws_spear_chukka\ws_spear_chukka_01_destroyed.wsmodel	ws_spear_chukka_destruct	Generic_3_Crew	wm_bolt_thrower02	ws_spear_chukka_spear	ws_spear_chukka	str_gnaw_spear_chukka										all_riders_shooting	1.0000
str_poxtooth_mount	warmachines/engines/skv_pox_cauldron/skv_pox_cauldron_01_destroyed.rigid_model_v2	skv_screaming_bell_destruct	Generic_No_Crew_Rotate	wm_pox_cauldron_fancy		str_poxtooth_mount	bc_cauldron				warmachines\engines\skv_pox_cauldron\tech						all_riders_shooting	1.0000
str_urgat_wolf_chariot	warmachines\chariot\grn_wolf_chariot\grn_wolf_chariot_01_destroyed.rigid_model_v2	grn_wolf_chariot_destruction	Generic_No_Crew_Rotate	wm_wolf_chariot01		str_urgat_wolf_chariot	str_urgat_wolf_chariot			ap_draughtposition	warmachines/chariot/str_urgat_wolf_chariot/tech	ap_crewposition					all_riders_shooting	1.0000
thom_ferrik_art_bolt_thrower_0	warmachines\engines\dwf_bolt_thrower\dwf_bolt_thrower_destroyed.rigid_model_v2	dwf_bolt_thrower_destruct	Generic_3_Crew	wm_bolt_thrower02	thom_ferrik_art_bolt_thrower_0	dwf_bolt_thrower	wh_dlc06_dwf_art_boltthrower										all_riders_shooting	1.0000
thom_ferrik_art_bolt_thrower_1	warmachines\engines\dwf_bolt_thrower\dwf_bolt_thrower_destroyed.rigid_model_v2	dwf_bolt_thrower_destruct	Generic_3_Crew	wm_bolt_thrower02	thom_ferrik_art_bolt_thrower_1	dwf_bolt_thrower	wh_dlc06_dwf_art_boltthrower										all_riders_shooting	1.0000
wh2_main_skv_art_skurvymortar_engine	warmachines/engines/skv_skurvy_mortar/liger_mortar_destroyed.wsmodel	emp_mortar_destruct	Generic_3_Crew	wm_mortar01	liger_skv_mortar	liger_mortar	liger_art_mortar										all_riders_shooting	1.0000
