key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_Trajanns_Khorne_Compilation
eku_heavy_war_sled	warmachines/chariot/ksl_warsled/ksl_warsled_heavy_destroyed.wsmodel	ksl_warsled_heavy_destruct	Generic_No_Crew_Fixed	wm_wh3_warsled01		eku_warsled_heavy	wh3_main_vehicle_heavy_war_sled			ap_draughtposition	warmachines\chariot\ksl_warsled\tech				warmachines/chariot/ksl_warsled/ksl_warsled_heavy_destruct.meta		all_riders_shooting	1.0000
eku_juggernaught_chariot	warmachines\chariot\dae_seeker_chariot\dae_seeker_chariot_exalted_01_destroyed.wsmodel	dae_seeker_chariot_exalted_destruct	Generic_No_Crew_Rotate	wm_wh3_seeker_chariot01		eku_seeker_chariot_exalted_01	wh3_main_vehicle_sla_exalted_seeker_chariot			ap_draughtposition	warmachines\chariot\dae_seeker_chariot\tech\	ap_crewposition					all_riders_shooting	1.0000
kho_skaven_catapult	warmachines/engines/skv_plagueclaw/skv_plagueclaw_01_destroyed.rigid_model_v2	skv_plagueclaw_catapult_destruct	Generic_3_Crew	wm_plagueclaw_catapult01	kho_skaven_catapult	kho_skaven_catapult	wh2_main_skv_art_plagueclaw_catapult										all_riders_shooting	1.0000
kho_skaven_doom_flayer	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destroyed.rigid_model_v2	skv_doom_flayer_destruct	Generic_No_Crew_Rotate	wm_dlc12_doomflayer01		kho_skaven_doom_flayer	wh2_dlc12_skv_vehicle_doom_flayer				warmachines\engines\skv_doom_flayer\tech		warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.wsmodel	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.anim	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.meta	war_machine_metal	all_riders_shooting	1.0000
kho_skaven_doomwheel	warmachines/engines/skv_doomwheel/skv_doom_wheel_01_destroyed.rigid_model_v2	skv_doomwheel_destruct	Generic_No_Crew_Rotate	wm_doomwheel01		kho_skaven_doomwheel	wh2_main_skv_vehicle_doomwheel				warmachines\engines\skv_doomwheel\tech					war_machine_metal	only_riders_supporting_shoot_moving	1.0000
kho_skaven_lightning_cannon	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	skv_lightning_cannon_destruct	Generic_3_Crew	wm_lightning_cannon01	kho_skaven_lightning_cannon	kho_skaven_lightning_cannon	wh2_main_skv_art_warp_lightning_cannon									war_machine_metal	all_riders_shooting	1.0000
traj_elder_throne	warmachines/chariot/lzd_slann_platform/lzd_mazdamundi_throne_01_destroyed.wsmodel	lzd_mazdamundi_palanquin_destruct	Generic_No_Crew_Rotate	wm_platform01		traj_elder_throne	wh2_main_lzd_slann_mage_palanquin				warmachines\chariot\lzd_slann_platform\tech	ap_platform_rider_0					all_riders_shooting	1.0000
traj_kho_dwarf_deathshrieker_rocket_launcher	warmachines\engines\chd_deathshrieker\chd_deathshrieker_01_destroyed.wsmodel	chd_deathshrieker_destruct	Generic_No_Crew_Fixed	wm_dlc23_cannon02_deathshrieker	traj_kho_dwarf_deathshrieker_rocket_launcher	traj_kho_dwarf_deathshrieker_rocket_launcher	wh3_dlc23_chd_veh_deathshrieker_rocket_launcher			ap_draughtposition	warmachines/engines/chd_deathshrieker/tech/	ap_crewposition	warmachines/engines/chd_deathshrieker/chd_deathshrieker_01_destruct.wsmodel	warmachines/engines/chd_magma_cannon/chd_magma_cannon_01_destruct.anim		heavy_metal	all_riders_shooting	1.0000
traj_kho_dwarf_dreadquake_mortar	warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destroyed_01.wsmodel	chd_dreadquake_destruct	Generic_No_Crew_Rotate	wm_dlc23_dreadquake01		traj_kho_dwarf_dreadquake_mortar	wh3_dlc23_chd_veh_dreadquake_mortar_chassis				warmachines/engines/chd_dreadquake/tech/	ap_turret	warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.wsmodel	warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000
traj_kho_dwarf_iron_daemon_flamethrower	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destroyed_01.wsmodel	chd_iron_daemon_ror_destruct	Generic_No_Crew_Fixed	wm_dlc23_loco01_iron_daemon_flamethrower	traj_kho_dwarf_iron_daemon_flamethrower	traj_kho_dwarf_iron_daemon_flamethrower	wh3_dlc23_chd_veh_iron_daemon_ror				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000
traj_kho_dwarf_skullcracker	warmachines\engines\chd_skullcracker\chd_skullcracker_destroyed_01.wsmodel	chd_skullcracker_destruct	Generic_No_Crew_Fixed	wm_dlc23_loco01_skullcracker		traj_kho_dwarf_skullcracker	wh3_dlc23_chd_veh_skullcracker				warmachines/engines/chd_skullcracker/tech/	ap_crew				heavy_metal	all_riders_shooting	1.0000
traj_kho_dwarf_skullcracker_ror	warmachines\engines\chd_skullcracker\chd_skullcracker_destroyed_01.wsmodel	chd_skullcracker_destruct	Generic_No_Crew_Fixed	wm_dlc23_loco01_skullcracker		traj_kho_dwarf_skullcracker_ror	wh3_dlc23_chd_veh_skullcracker				warmachines/engines/chd_skullcracker/tech/	ap_crew				heavy_metal	all_riders_shooting	1.0000
