key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_ghs_great_harmony
cth_dark_warchariot	warmachines\aircraft\cth_fly_compass\ghs_cth_warchariot_destoryed_01.wsmodel	hef_tiranoc_chariot_destruct	Generic_No_Crew_Rotate	wm_tiranoc_chariot01		cth_dark_warchariot	wh2_main_hef_ithilmar_chariot			ap_draughtposition	warmachines/chariot/cth_dark_chariot/tech	ap_crewposition	warmachines\aircraft\cth_fly_compass\ghs_cth_warchariot_destoryed_01.wsmodel	warmachines\chariot\hef_tiranoc_chariot\hef_tiranoc_chariot_hero_01_destruct.anim	warmachines\chariot\hef_tiranoc_chariot\hef_tiranoc_chariot01_destruct.meta		all_riders_shooting	1.1750
dwf_cannon_chariot1	warmachines/chariot/grn_boar_chariot/dwf_goat_chariot_02_destoryed.wsmodel	grn_boar_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		dwf_cannon_chariot1	dwf_goat_chariot_heavy			ap_draughtposition	warmachines\chariot\grn_boar_chariot\tech						all_riders_shooting	1.0000
dwf_flame_cannon_chariot1	warmachines/chariot/grn_boar_chariot/dwf_goat_chariot_01_destoryed.wsmodel	grn_boar_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		dwf_flame_cannon_chariot1	dwf_goat_chariot_heavy			ap_draughtposition	warmachines\chariot\grn_boar_chariot\tech						all_riders_shooting	1.0000
dwf_gun_chariot1	warmachines/chariot/grn_boar_chariot/dwf_goat_chariot_03_destoryed.wsmodel	grn_boar_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		dwf_gun_chariot1	dwf_goat_chariot_heavy			ap_draughtposition	warmachines\chariot\grn_boar_chariot\tech						all_riders_shooting	1.0000
dwf_thrower_chariot1	warmachines/chariot/grn_boar_chariot/dwf_goat_chariot_01_destoryed.wsmodel	grn_boar_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		dwf_thrower_chariot1	dwf_goat_chariot_heavy			ap_draughtposition	warmachines\chariot\grn_boar_chariot\tech						all_riders_shooting	1.0000
ghs_dwf_chd_veh_goblin_crusher	warmachines\engines\chd_skullcracker\ghs_dwf_skullcracker_01.wsmodel	ghs_dwf_skullcracker_destruct	Generic_No_Crew_Fixed	ghs_dwf_chd_veh_goblin_crusher		ghs_dwf_skullcracker	wh3_dlc23_chd_veh_skullcracker				warmachines/engines/chd_skullcracker/tech/	ap_crew				heavy_metal	all_riders_shooting	1.0000
ghs_dwf_veh_dreadquake	warmachines\engines\chd_dreadquake\ghs_dwf_dreadquake_01.wsmodel	ghs_dwf_dreadquake_destruct	Generic_No_Crew_Rotate	wm_dlc23_dreadquake01		ghs_dwf_dreadquake	wh3_dlc23_chd_veh_dreadquake_mortar_chassis				warmachines/engines/chd_dreadquake/tech/	ap_turret	warmachines\engines\chd_dreadquake\ghs_dwf_dreadquake_01.wsmodel	warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000
ghs_dwf_veh_iron_daemon_train	warmachines\engines\chd_iron_daemon\ghs_dwf_iron_daemon_01.wsmodel	ghs_dwf_iron_train_destruct	Generic_No_Crew_Fixed	wm_dlc23_loco01_iron_daemon	ghs_dwf_veh_iron_train	ghs_dwf_iron_train	wh3_dlc23_chd_veh_iron_daemon				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\ghs_dwf_iron_daemon_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000
ghs_dwf_veh_iron_train	warmachines\engines\chd_iron_daemon\ghs_dwf_iron_daemon_01.wsmodel	ghs_dwf_iron_train_destruct	Generic_No_Crew_Fixed	wm_dlc23_loco01_iron_daemon	ghs_dwf_veh_iron_train	ghs_dwf_iron_train	wh3_dlc23_chd_veh_iron_daemon				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\ghs_dwf_iron_daemon_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000
lzd_temple_quetzl	warmachines/chariot/lzd_mummy/lzd_mummy_guard_pyramid.rigid_model_v2	lzd_lord_kroak_platform_destruct	Generic_No_Crew_Rotate	wm_kroak_platform01		lzd_temple_quetzl_god	lzd_temple_quetzl_mount				warmachines\chariot\lzd_slann_platform\tech	ap_platform_rider_0					all_riders_shooting	1.0000
rhd_skv_art_plagueclaw_catapult_ror	warmachines/engines/skv_plagueclaw/skv_plagueclaw_01_destroyed.rigid_model_v2	rhd_skv_plagueclaw_catapult_destruct	Generic_3_Crew	rhd_wm_plagueclaw_catapult01	rhd_land_skv_art_plagueclaw_catapult_ror_missile_weapon	rhd_skv_plagueclaw_catapult	wh2_main_skv_art_plagueclaw_catapult										all_riders_shooting	1.0000
