key	text	tooltip
#Loc;1;text/@@zerooz_hef_units.loc		
land_units_onscreen_name_hef_inf_guardian_of_hoeth	Guardians of Hoeth	true
unit_description_historical_texts_text_hef_inf_guardian_of_hoeth	The sages of the White Tower select elven noble children who are eager for knowledge, teaching them swordsmanship and magic to become the defenders of the White Tower.	true
unit_description_short_texts_text_hef_inf_guardian_of_hoeth	The sages of the White Tower select elven noble children who are eager for knowledge, teaching them swordsmanship and magic to become the defenders of the White Tower.	true
land_units_onscreen_name_hef_inf_guard_of_eternal_02	Eternal Guard (Spears)	true
unit_description_historical_texts_text_hef_inf_guard_of_eternal_02	Some elves choose to return to Avelorn to serve the Everqueen, forming the Eternal Guard who use polearms.	true
unit_description_short_texts_text_hef_inf_guard_of_eternal_02	Some elves choose to return to Avelorn to serve the Everqueen, forming the Eternal Guard who use polearms.	true
land_units_onscreen_name_hef_inf_guard_of_eternal_03	Eternal Guard (Dual Swords)	true
unit_description_historical_texts_text_hef_inf_guard_of_eternal_03	Some elves choose to return to Avelorn to serve the Everqueen, forming the Eternal Guard who use dual swords.	true
unit_description_short_texts_text_hef_inf_guard_of_eternal_03	The Everqueen’s maidens use dual swords in battle like valkyries.	true
land_units_onscreen_name_hef_inf_scouts_of_eternal	Eternal Guard (Bows)	true
unit_description_historical_texts_text_hef_inf_scouts_of_eternal	Some elves choose to return to Avelorn to serve the Everqueen, but only the finest Eternal Maidens can join the Eternal Guards.	true
unit_description_short_texts_text_hef_inf_scouts_of_eternal	Skilled in the use of bows and spears, the Eternal Maidens.	true
land_units_onscreen_name_hef_cav_rider_of_eternal	Riders of Avelorn	true
unit_description_historical_texts_text_hef_cav_rider_of_eternal	Some elves choose to return to Avelorn to serve the Everqueen, but only the finest Eternal Maidens can join the Eternal Guards.	true
unit_description_short_texts_text_hef_cav_rider_of_eternal	The Everqueen’s mobile guard, effective at long-range but weak in melee.	true
land_units_onscreen_name_hef_cav_sister_of_eternal	Avelorn Sisters of the Thorn	true
unit_description_historical_texts_text_hef_cav_sister_of_eternal	Some elves choose to return to Avelorn to serve the Everqueen, but only the finest Eternal Maidens can join the Eternal Guards.	true
unit_description_short_texts_text_hef_cav_sister_of_eternal	Thorn Sisters who left Athel Loren returned to Avelorn to serve the Everqueen.	true
land_units_onscreen_name_hef_cav_skyraider_of_eternal	Avelorn Hawk Riders	true
unit_description_historical_texts_text_hef_cav_skyraider_of_eternal	Some elves choose to return to Avelorn to serve the Everqueen, but only the finest Eternal Maidens can join the Eternal Guards.	true
unit_description_short_texts_text_hef_cav_skyraider_of_eternal	The Everqueen’s airborne mobile guard, suited for striking from high altitudes and scouting the battlefield.	true
land_units_onscreen_name_hef_cav_strike_of_eternal	Great Stag Sisters	true
unit_description_historical_texts_text_hef_cav_strike_of_eternal	Some elves choose to return to Avelorn to serve the Everqueen, but only the finest Eternal Maidens can join the Eternal Guards.	true
