key	text	tooltip
#Loc;1;text/@@zerooz_hef_units_skills.loc		
unit_abilities_onscreen_name_hef_unit_abilities_defiance	Defiance	true
unit_abilities_tooltip_text_hef_unit_abilities_defiance	Ready to face any enemy!	true
unit_abilities_onscreen_name_hef_unit_abilities_endless_waltz	Endless Waltz	true
unit_abilities_tooltip_text_hef_unit_abilities_endless_waltz	Sacrifice some defense to let the elves dance on the battlefield!	true
unit_abilities_onscreen_name_hef_unit_abilities_concentrated	Concentrated	true
unit_abilities_tooltip_text_hef_unit_abilities_concentrated	The handmaidens of the Everqueen are skilled with bows, so every shot is true!	true
unit_abilities_onscreen_name_hef_unit_abilities_healing_ring	Healing Ring	true
unit_abilities_tooltip_text_hef_unit_abilities_healing_ring	A life magic spell that restores health to oneself and nearby allies.	true
unit_abilities_onscreen_name_hef_unit_abilities_earthfury	Earthfury	true
unit_abilities_tooltip_text_hef_unit_abilities_earthfury	Causes the forest to rage and attack the enemies.	true
unit_abilities_onscreen_name_hef_unit_abilities_shelter_of_the_forest	Shelter of the Forest	false
unit_abilities_tooltip_text_hef_unit_abilities_shelter_of_the_forest	When maidens return to the forest, they use everything in the woods to help them fight.	false
unit_abilities_onscreen_name_hef_unit_abilities_portent_of_asuryan	Portent of Asuryan	false
unit_abilities_tooltip_text_hef_unit_abilities_portent_of_asuryan	The portent of Asuryan suggests that it’s time to reveal the powers of the past.	false
unit_abilities_onscreen_name_hef_unit_abilities_brave_of_phoenix_king	Brave of Phoenix King	false
unit_abilities_tooltip_text_hef_unit_abilities_brave_of_phoenix_king	An invincible energy covers the former Phoenix King’s guards.	false
unit_abilities_onscreen_name_hef_unit_abilities_dragon_heart	Dragon Heart	false
unit_abilities_tooltip_text_hef_unit_abilities_dragon_heart	The former Phoenix King’s guards display their past valor.	false
unit_abilities_onscreen_name_hef_unit_abilities_frost_armor	Frost Armor	false
unit_abilities_tooltip_text_hef_unit_abilities_frost_armor	The swordsmen’s armor is covered in a layer of frosted armor, making it difficult for attacks to penetrate.	false
unit_abilities_onscreen_name_hef_unit_abilities_rising_phoenix	Rising Phoenix	false
unit_abilities_tooltip_text_hef_unit_abilities_rising_phoenix	Flames cover the twin blades as they strike surrounding enemies with extreme speed.	false
unit_abilities_onscreen_name_hef_unit_abilities_light_of_mist	Light of Mist	false
unit_abilities_tooltip_text_hef_unit_abilities_light_of_mist	Dispels all darkness and illuminates the area around the Light of Yvresse.	false
unit_abilities_onscreen_name_hef_unit_guided_to_magic	Guided to Magic	false
unit_abilities_tooltip_text_hef_unit_abilities_guided_to_magic	The great mages of Hoeth understand how to communicate with the Winds of Magic to keep the magical winds flowing.	false
unit_abilities_onscreen_name_hef_unit_charge_magic_ammo	Replenish Magic Ammunition	false
unit_abilities_tooltip_text_hef_unit_charge_magic_ammo	The great mages of Hoeth can use the Winds of Magic to replenish their ammunition.	false
unit_abilities_onscreen_name_hef_unit_abilities_companions_of_chrace	Companions of Chrace	false
