key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo
#land_units_tables;53;db/land_units_tables/!!!1a_glf_battle_mage_dante																																																										
wh2_dlc09_tmb_cha_arkhan_0	10	wh2_main_plate_90	2100	inf_melee	12	com	wh2_dlc09_tmb_cha_arkhan	hu1_arkhan_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero	40	50	75	4832		0	wh2_dlc09_tmb_sword_hero_lord	glf_tmb_arkhan_missile	1	none	wh2_dlc09_tmb_cha_arkhan	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_arkhan_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	20	-15	0	0	0	15	0	hybrid_mage_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
wh2_dlc09_tmb_cha_arkhan_1	10	wh2_main_plate_90	2100	cavalry	32	com	wh2_dlc09_tmb_cha_arkhan	hu1_tomb_hr1_tomb_steed_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero	40	50	75	5232	wh2_dlc09_tmb_mnt_tomb_steed_hero	1	wh2_dlc09_tmb_sword_hero_lord	glf_tmb_arkhan_missile	1	none	wh2_dlc09_tmb_cha_arkhan	wh_main_monstrous_cavalry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_arkhan_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	20	-15	0	0	0	15	0	hybrid_mage_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
wh2_dlc09_tmb_cha_khatep_0	10	wh2_main_bone_40	2100	inf_melee	10	com	wh2_dlc09_tmb_cha_khatep	hu1_liche_priest_staff_and_sword	wh2_dlc16_tmb_skeleton_khatep_hero_lord	28	38	75	3880		0	wh2_dlc09_tmb_sword_hero_khatep	glf_tmb_khatep_missile	1	none	wh2_dlc09_tmb_cha_khatep	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_khatep_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	20	0	0	0	0	15	0	hybrid_mage_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
wh2_dlc09_tmb_cha_khatep_1	10	wh2_main_bone_40	2100	cavalry	30	com	wh2_dlc09_tmb_cha_khatep	hu1_liche_priest_hr1_tomb_steed_staff_and_sword	wh2_dlc16_tmb_skeleton_khatep_hero_lord	28	38	75	4368	wh2_dlc09_tmb_mnt_tomb_steed_hero	1	wh2_dlc09_tmb_sword_hero_khatep	glf_tmb_khatep_missile	1	none	wh2_dlc09_tmb_cha_khatep	wh_main_monstrous_cavalry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_khatep_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	20	0	0	0	0	15	0	hybrid_mage_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
wh2_dlc09_tmb_cha_liche_priest_death_0	10	wh2_main_bone_30	2100	inf_melee	10	com	wh2_dlc09_tmb_cha_liche_priest	hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest	25	30	60	3512		0	wh2_dlc09_tmb_staff_hero	glf_mage_hero_death_missile	1	none	wh2_dlc09_tmb_cha_liche_priest	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_liche_priest_death_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	20	0	0	0	0	15	0	hybrid_mage_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
wh2_dlc09_tmb_cha_liche_priest_death_1	10	wh2_main_bone_30	2100	cavalry	30	com	wh2_dlc09_tmb_cha_liche_priest	hu1_liche_priest_hr1_tomb_steed_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest	25	30	60	3932	wh2_dlc09_tmb_mnt_tomb_steed_hero	1	wh2_dlc09_tmb_staff_hero	glf_mage_hero_death_missile	1	none	wh2_dlc09_tmb_cha_master_necromancer	wh_main_monstrous_cavalry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_liche_priest_death_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	20	0	0	0	0	15	0	hybrid_mage_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
wh2_dlc09_tmb_cha_liche_priest_light_0	10	wh2_main_bone_30	2100	inf_melee	10	com	wh2_dlc09_tmb_cha_liche_priest	hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest	25	30	60	3512		0	wh2_dlc09_tmb_staff_hero	glf_mage_hero_light_missile	1	none	wh2_dlc09_tmb_cha_liche_priest	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_liche_priest_light_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	20	0	0	0	0	15	0	hybrid_mage_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
wh2_dlc09_tmb_cha_liche_priest_light_1	10	wh2_main_bone_30	2100	cavalry	30	com	wh2_dlc09_tmb_cha_liche_priest	hu1_liche_priest_hr1_tomb_steed_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest	25	30	60	3932	wh2_dlc09_tmb_mnt_tomb_steed_hero	1	wh2_dlc09_tmb_staff_hero	glf_mage_hero_light_missile	1	none	wh2_dlc09_tmb_cha_master_necromancer	wh_main_monstrous_cavalry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_liche_priest_light_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	20	0	0	0	0	15	0	hybrid_mage_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	10	wh2_main_bone_30	2100	inf_melee	10	com	wh2_dlc09_tmb_cha_liche_priest	hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest	25	30	60	3512		0	wh2_dlc09_tmb_staff_hero	glf_mage_hero_nehekhara_missile	1	none	wh2_dlc09_tmb_cha_liche_priest	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	20	0	0	0	0	15	0	hybrid_mage_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false
