key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!!firing_arc_120_compat_@xou_emp
banner_human	man	1.4000	3.2000	2.0000	3.0000	4.8000	30.0000	35.0000	35.0000	0.6000	circle	1.0000	300.0000	1.8000	120	120.0000	0	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	100	100	0.0000	true	1.0000	0.9000	5			0.5000	1.4500	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	0	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_infantry_rider_norange	man	1.5000	3.3000	2.0000	4.0000	4.5000	35.0000	30.0000	30.0000	0.6000	circle	1.0000	100.0000	1.8000	0.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	medium	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	false	1.0000	0.9000	2			0.5000	1.6000	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_vehicle_hurricanum	giant	2.0000	5.0000	3.0000	6.0000	9.0000	30.0000	25.0000	25.0000	2.7000	capsule	0.5000	1600.0000	5.3000	360.0000	60.0000	8	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation	wh_war_machine_luminark	3.0000	artillery_effects	0	0	0.0000	false	0.9000	0.8000	4			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_vehicle_hurricanum_articulation	chariot	2.0000	5.0000	4.0000	6.0000	9.0000	30.0000	25.0000	25.0000	3.4000	capsule	0.4500	1300.0000	5.3000	360.0000	80.0000	8	true	true	1.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_chariot_articulation_wood	3.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	20			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
cr_vehicle_hurricanum_turret	turret	1.6000	4.8000	3.0000	6.0000	8.4000	50.0000	40.0000	40.0000	1.3000	circle	1.0000	100.0000	1.0000	360.0000	120.0000	0	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation	wh_war_machine_luminark	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	3			0.0000	2.0000	0	true		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
hkrul_egil	man	1.5000	3.4000	2.0000	4.0000	4.1000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	800.0000	2.2000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	2.0000	infantry_light_effects	70	80	0.0000	true	1.0000	0.9000	1	wh_main_generic_character_aura		0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
hkrul_setanta_wolf_form	giant	2.3000	7.5000	5.3000	5.0000	12.0000	45.0000	45.0000	45.0000	1.0500	circle	1.0000	2000.0000	3.3000	120	120.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	4.0000	monstrous_infantry_effects	30	40	0.0000	false	1.0000	0.8000	3	wh_main_generic_character_aura		0.5000	1.4500	1	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	30	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
snek_iron_colossus	giant	1.8000	2.5000	2.0000	1.5000	2.9000	35.0000	30.0000	30.0000	2.5000	circle	1.0000	8000.0000	11.0000	120	60.0000	0	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	none	6.0000	giant_effects	50	50	0.0000	false	1.0000	0.5000	12			0.3000	1.4500	53	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	0	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
wh_main_cavalry_rider_reiksguard	man	1.5000	3.3000	2.0000	4.0000	4.5000	35.0000	30.0000	25.0000	0.6000	circle	1.0000	100.0000	1.8000	360.0000	90.0000	8	true	true	0.0000	0.0000	0.0000	medium	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	false	1.0000	0.9000	2			0.5000	1.6000	101	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
