key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!!!!!2xunitsize_compat_Zerooz_All_Units
chs_cav_death_reaper_steed_knights	in1_wh3_rot_fly	wh3_main_flying_rot_fly_blood	body	chs_cav_death_reaper_steed_knights	vo_culture_None
cth_cav_nangao_fire_lance	hr1_warhorse	cth_mnt_naogao_fire_lance	plate	cth_mnt_celestial_hourse	wh_main_vo_culture_Horse
cth_cav_xiaoguojun	hr1_wh3_longma	cth_mnt_xiaoguojun_longma	leather	wh3_main_cth_mnt_jade_longma_heavy	wh_main_vo_culture_Pegasus
cth_mnt_celestial_crossbow_hourse	hr1_warhorse	cth_mnt_celestial_crossbow_hourse	plate	cth_mnt_celestial_hourse	wh_main_vo_culture_Horse
cth_mnt_jade_crossbow_hourse	hr1_warhorse	cth_mnt_jade_crossbow_hourse	plate	wh3_main_cth_mnt_horse_heavy	wh_main_vo_culture_Horse
cth_mnt_jade_longma_crassbow_hourse	hr1_pegasus	cth_mnt_jade_longma_heavy_crassbow_hourse	leather	wh3_main_cth_mnt_jade_longma_heavy	wh_main_vo_culture_Pegasus
cth_mnt_jade_longma_land	hr1_wh3_longma	cth_mnt_jade_longma_land_hourse	leather	cth_mnt_jade_longma_land	wh_main_vo_culture_Pegasus
cth_mnt_jade_longma_land_hourse_compass	hr1_wh3_longma	cth_mnt_jade_longma_land_hourse_compass	leather	cth_mnt_jade_longma_land_compass	wh_main_vo_culture_Pegasus
cth_veh_sky_ark	sj1_wh3_skyboat01	cth_flying_sky_ark	leather	cth_veh_sky_ark	wh3_main_vo_culture_Cathay
cth_veh_sky_boat	bi1sc_skyboat_moonbird	cth_skyboat_moonbird	leather	cth_skyboat_moonbird	wh_main_vo_culture_Eagle
emp_mnt_dual_crossbow_demigryph_knights	bc2_demigryph	emp_monster_demigryph_blood	plate	wh_emp_demigryph	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
emp_mnt_gryph_knights	bc2_griffon	emp_griffon_blood	plate	emp_imperial_griffon	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
emp_mnt_knight_of_the_raven	hr1_warhorse	wh_main_cavalry_slow_blood	leather	emp_mnt_knight_of_the_raven	wh_main_vo_culture_Horse
haven_paladinhorse	hr1_warhorse	haven_paladinhorse	plate	haven_paladinhorse	wh_main_vo_culture_Horse
haven_sunhorse	hr1_warhorse	haven_sunhorse	plate	haven_sunrider_steed	wh_main_vo_culture_Horse
haven_sunrider_sunSteed	hr1_warhorse	haven_sunhorse	plate	haven_sunrider_sunSteed	wh_main_vo_culture_Horse
hef_mnt_dragon	dr1_dragon	hef_mnt_dragon	body	hef_mnt_dragon	wh_main_vo_culture_Dragon_Small
hef_mon_flying_fish	hef_mt1_mon_flying_fish	hef_mon_flying_fish	plate	hef_mon_flying_fish	wh3_main_vo_culture_Tze_Screamer
hef_mon_flying_fish_heavy_weapon	hef_mt1_mon_flying_fish	hef_mon_flying_fish_heavy_weapon	plate	hef_mon_flying_fish_heavy_weapon	wh3_main_vo_culture_Tze_Screamer
hef_mon_flying_fish_two_people	hef_mt1_mon_flying_fish	hef_mon_flying_fish_two_people	plate	hef_mon_flying_fish_two_people	wh3_main_vo_culture_Tze_Screamer
kho_flesh_hounds_of_khorne	bc4c_flesh_hounds_of_khorne_arbaal	kho_flesh_hounds_of_khorne	body	kho_flesh_hounds_of_khorne	vo_culture_Invalid
nur_cav_plague_cultist_warhorse	hr1_chaos_steed	wh3_dlc20_chs_mnt_norscan_warhorse_horsemen_mnur	leather	wh3_dlc20_chs_norscan_warhorse	wh_main_vo_culture_Horse
tze_doom_disc	wm_wh3_burning_chariot01	tze_doom_disc	body	tze_doom_disc	vo_culture_None
