key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!calm_animals_for_wood_elves
rory_wef_bears	rory_wef_bears	monster_beasts
rory_wef_boars	rory_wef_boars	monster_beasts
rory_wef_dragon	rory_wef_dragon	monster_beasts
rory_wef_elk	rory_wef_elk	monster_beasts
rory_wef_giant_boars	rory_wef_giant_boars	monster_beasts
rory_wef_great_stags	rory_wef_great_stags	monster_beasts
rory_wef_griffon	rory_wef_griffon	monster_beasts
rory_wef_pegasi	rory_wef_pegasi	monster_beasts
rory_wef_questing_beasts	rory_wef_questing_beasts	monster_beasts
rory_wef_tiger	rory_wef_tiger	monster_beasts
rory_wef_white_wolves	rory_wef_white_wolves	monster_beasts
rory_wef_wildcats	rory_wef_wildcats	monster_beasts
rory_wef_wolves	rory_wef_wolves	monster_beasts
