key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!bodyguards_allinone_en
emp_general_retinue_3	shock_cavalry	commander
emp_captain_retinue_6	cavalry	heroes_agents
emp_warrior_priest_retinue_1	infantry_cudgel	heroes_agents
emp_engineer_retinue_1	missile_infantry_rifle	heroes_agents
emp_captain_retinue_5	infantry_sword	heroes_agents
emp_captain_retinue_2	infantry_spear_halberd	heroes_agents
emp_captain_retinue_1	infantry_spear	heroes_agents
emp_general_retinue_1	infantry_sword_great	commander
emp_captain_retinue_3	cavalry	heroes_agents
emp_engineer_retinue_4	missile_cavalry_grenade_launcher	heroes_agents
emp_warrior_priest_retinue_2	wh_dlc04_flagellant	heroes_agents
emp_witch_hunter_retinue_5	missile_cavalry_grenade_launcher	heroes_agents
emp_witch_hunter_retinue_2	wh2_dlc11_cst_specialist_missile_infantry	heroes_agents
emp_warrior_priest_retinue_3	cavalry	heroes_agents
emp_captain_retinue_9	cavalry_flying	heroes_agents
emp_captain_retinue_8	cavalry_griffon_halberd	heroes_agents
emp_warrior_priest_retinue_4	empbodyguard_hammer_great_cavalry	heroes_agents
emp_captain_retinue_7	shock_cavalry	heroes_agents
emp_engineer_retinue_3	missile_cavalry_rifle	heroes_agents
emp_witch_hunter_retinue_4	missile_cavalry_pistol	heroes_agents
emp_engineer_retinue_2	wh2_dlc11_cst_specialist_missile_infantry	heroes_agents
emp_witch_hunter_retinue_3	missile_infantry_pistol	heroes_agents
emp_general_retinue_2	cavalry	commander
emp_witch_hunter_retinue_1	missile_infantry_bow	heroes_agents
emp_captain_retinue_4	infantry_sword_great	heroes_agents
