key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!1a_glf_unit_expansion
glf_infantry_javelin	wh2_main_missile_infantry_javelin	infantry
glf_sniper	wh2_dlc11_cst_specialist_missile_infantry	missile_infantry
glf_mammoth_missile_rifle	glf_mammoth_missile_rifle	missile_monster_beasts
glf_machine_gunner	wh2_dlc11_cst_close_quarters_missile_infantry	missile_infantry
glf_ksl_pistol_spear_infantry	glf_ksl_pistol_spear_infantry	infantry
glf_skv_poison_wind_blast	glf_skv_poison_wind_blast	infantry
glf_infantry_guandao	glf_cth_guandao	infantry
glf_skv_stormfiend_rattling_gun	glf_skv_stormfiend_rattling_gun	missile_monster_beasts
glf_lzd_serpent_riders	wh2_dlc09_tmb_necroserpent_spear	cavalry_chariots
glf_def_hunters_javelin	wh2_main_missile_infantry_javelin	infantry
glf_ox_shock_cavalry	glf_ox_shock_cavalry	cavalry_chariots
glf_hef_griffon	glf_hef_griffon	monster_beasts
glf_hef_lion_axe_cavalry	glf_hef_lion_axe_cavalry	cavalry_chariots
glf_stalk_sword	glf_stalk_sword	infantry
glf_sla_steed_daemonette_missile	glf_sla_steed_daemonette_missile	missile_cavalry_chariots
glf_hammer_great_cavalry	glf_hammer_great_cavalry	cavalry_chariots
glf_skv_stormfiend_warpfire	glf_skv_stormfiend_warpfire	missile_monster_beasts
