key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!cf-Ksl-units
cf_kvaskrovka_cavalry	cf_kvaskrovka_cavalry	missile_cavalry_chariots
cf_ice_guard_sled	cf_ice_guard_sled	missile_cavalry_chariots
cf_infantry_axe_great	infantry_axe_great	infantry
cf_fire_bomb_sled	cf_fire_bomb_sled	missile_cavalry_chariots
cf_kvaskrovka_infantry	cf_kvaskrovka_infantry	infantry
cf_war_altar_of_ursun	wh3_main_ksl_patriarch	infantry
cf_claws	cf_claws	infantry
cf_blunderbuss_sled	cf_blunderbuss_sled	missile_cavalry_chariots
cf_go_emissary	wh_main_emp_dignitary	infantry
cf_mace_sled	cf_mace_sled	cavalry_chariots
cf_stags	cf_stags	monster_beasts
cf_bardiche_sled	cf_bardiche_sled	cavalry_chariots
cf_ancient_widow	cf_ancient_widow	monster_beasts
