key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!scm_marienburg
hkrul_mar_cannon	artillery_cannon	artillery_war_machines
hkrul_mar_cav	shock_cavalry	cavalry_chariots
hkrul_mar_cav_sword	cavalry	cavalry_chariots
hkrul_mar_emp_rocket_battery	emp_rocket_battery	artillery_war_machines
hkrul_mar_field_gun	field_gun	artillery_war_machines
hkrul_mar_flying_monstrous_cavalry	wh2_dlc15_griffon_knights	monster_beasts
hkrul_mar_inf_gsword	infantry_sword_great	infantry
hkrul_mar_inf_sword	infantry_sword	infantry
hkrul_mar_infantry_axe	infantry_axe	infantry
hkrul_mar_infantry_spear	infantry_spear	infantry
hkrul_mar_infantry_spear_halberd	infantry_spear_halberd	infantry
hkrul_mar_missile_cavalry_bow	missile_cavalry_bow	missile_cavalry_chariots
hkrul_mar_missile_infantry_bow	missile_infantry_bow	missile_infantry
hkrul_mar_missile_infantry_pistol	missile_infantry_rifle	missile_infantry
hkrul_mar_missile_infantry_rifle	missile_infantry_rifle	missile_infantry
hkrul_mar_wh2_main_infantry_dual_swords	wh2_main_infantry_dual_swords	infantry
hkrul_mar_wh_dlc07_brt_grail_relique	wh_dlc07_brt_grail_relique	infantry
infantry_goedendag	infantry_goedendag	infantry
infantry_trident	infantry_trident	infantry
