key	close_formation_spacing_horizontal	close_formation_spacing_variation	close_formation_spacing_vertical	dismounted_close_formation_spacing_horizontal	dismounted_close_formation_spacing_variation	dismounted_close_formation_spacing_vertical	dismounted_loose_formation_spacing_horizontal	dismounted_loose_formation_spacing_variation	dismounted_loose_formation_spacing_vertical	loose_formation_spacing_horizontal	loose_formation_spacing_variation	loose_formation_spacing_vertical	routing_space_variation	is_chaotic_formation	testudo_horizontal_spacing	testudo_vertical_spacing	shield_wall_horizontal_spacing	shield_wall_vertical_spacing
#unit_spacings_tables;7;db/unit_spacings_tables/!!!!TW_Millennium_Public
wh_twm_battlefield_building	30.0000	0.0000	30.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	18.0000	0.0000	18.0000	3.0000	false	0.8500	1.0000	0.8500	0.8500
wh_twm_deployable_anti_tank_obstacle	3.5000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.5000	3.6000	2.0000	0.0000	1.0000	3.0000	false	0.8500	1.0000	0.8500	0.8500
wh_twm_deployable_breaching_device	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	0.8500	1.0000	0.8500	0.8500
wh_twm_deployable_earth_wall	2.5000	0.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.5000	3.6000	2.0000	0.0000	1.0000	3.0000	false	0.8500	1.0000	0.8500	0.8500
wh_twm_deployable_mine_field	2.8000	2.8000	2.8000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	2.0000	0.0000	2.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_biplane	21.0000	1.0000	21.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	14.0000	0.0000	12.0000	3.0000	false	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_helicopter_heavy	28.0000	1.5000	28.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	21.0000	0.0000	18.0000	3.0000	false	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_helicopter_light	21.0000	1.0000	21.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	14.0000	0.0000	12.0000	3.0000	false	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_infantry_conventional	1.6000	0.5000	1.8000	1.0000	0.3000	1.0000	1.0000	1.5000	3.6000	1.0000	1.0000	1.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_infantry_mobile	2.2000	1.0000	2.4000	1.0000	0.3000	1.0000	1.0000	1.5000	3.6000	1.0000	1.0000	1.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_infantry_rifle_loose	2.2000	2.8000	2.8000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	2.0000	0.0000	2.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_infantry_rifle_tight	1.3000	2.2000	1.3000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	2.0000	0.0000	2.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_infantry_skirmisher	1.6000	2.6000	1.6000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	2.0000	0.0000	2.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_infantry_trench	1.9000	0.7500	2.1000	1.0000	0.3000	1.0000	1.0000	1.5000	3.6000	1.0000	1.0000	1.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_light_tanks	12.0000	1.0000	7.0000	5.0000	5.0000	5.0000	6.0000	1.0000	24.0000	10.0000	2.0000	12.0000	3.0000	false	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_weaponteam_lmg	3.0000	1.0000	5.0000	1.2000	1.0000	1.2000	1.0000	0.0000	1.0000	6.6000	0.4000	10.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
wh_twm_emp_weaponteam_mortar	4.8000	1.0000	5.8000	1.2000	1.0000	1.2000	1.0000	0.0000	1.0000	6.6000	0.4000	10.0000	3.0000	true	0.8500	1.0000	0.8500	0.8500
