unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_@Deer24diguochuanqi
agesiqishi		1	melee_infantry	3	false	agesiqishi	160	1	2000	wh_main_shp_transport	1	1	80	2000	450	medium		0	false	wh_main_vo_culture_Empire	infantry_axe_great	4	true	emp_soldier_15_degrees		false		2000.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	1	false	false		0.0000	false	1	false
bailang	wh_main_emp_stables_3	1	monster	4	false	bailang	1	1	2600	wh_main_shp_transport	1	1	1	2600	575	very_heavy		0	false	wh_dlc08_vo_culture_skin_wolf_werekin	war_beast	5	true	vamp_terrorgheist		true		2600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	true	true	6	false	false		0.0000	true	1	false
buxingqishi		-1	melee_infantry	2	false	buxingqishi	240	0	1000	wh_main_shp_transport	1	1	120	1000	250	medium		0	false	wh_main_vo_culture_Empire	infantry_sword	3	false	emp_soldier_15_degrees		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	0	false	false		0.0000	true	1	false
buxingqishi1		-1	melee_infantry	2	false	buxingqishi1	240	0	1100	wh_main_shp_transport	1	1	120	1100	265	medium		0	false	wh_main_vo_culture_Empire	infantry_spear_halberd	3	false	emp_soldier_15_degrees		false		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	0	false	false		0.0000	true	1	false
diguohuoqiangshou		-1	missile_infantry	2	false	diguohuoqiangshou	180	1	1000	wh_main_shp_transport	1	1	90	1000	250	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_rifle	3	true	emp_soldier_30_degrees		false		300.0000	700.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_BrightWizard	0	true	false	1	false	false		0.0000	true	1	false
diguolong	wh_main_emp_stables_3	1	monster	4	false	diguolong	1	0	2800	wh_main_shp_transport	1	1	1	2800	600	very_heavy		0	true	wh2_main_vo_culture_Star_Dragon	dragon	5	true	hef_dragon		true		2800.0000	0.0000	true	wh2_main_vo_culture_High_Elves	false	wh_main_vo_actor_default	0	false	true	1	true	false		0.0000	false	1	false
dihuangqishi		2	melee_infantry	2	false	dihuangqishi	240	0	1500	wh_main_shp_transport	1	1	120	1500	375	medium		0	false	wh_main_vo_culture_Empire	infantry_sword_great	4	true	emp_soldier_15_degrees		false		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	0	false	false		0.0000	true	1	false
gaositianshi		1	missile_infantry	3	false	gaositianshi	160	1	2000	wh_main_shp_transport	1	1	80	2000	450	medium		0	false	wh_main_vo_culture_Empire	infantry_sword	4	true	emp_soldier_15_degrees		false		1700.0000	300.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	1	false	false		0.0000	false	1	false
huangjinzituan		2	melee_infantry	2	false	huangjinzituan	240	0	1500	wh_main_shp_transport	1	1	120	1500	375	medium		0	false	wh_main_vo_culture_Empire	infantry_spear_halberd	4	true	emp_soldier_15_degrees		false		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Captain	0	true	false	0	false	false		0.0000	true	1	false
jiaozongqishi		2	melee_infantry	2	false	jiaozongqishi	240	0	1500	wh_main_shp_transport	1	1	120	1500	375	medium		0	false	wh_main_vo_culture_Empire	infantry_sword_great	4	true	emp_soldier_15_degrees		false		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	0	false	false		0.0000	true	1	false
judunnubing		-1	missile_infantry	1	false	judunnubing	180	0	850	wh_main_shp_transport	1	1	90	850	200	light		0	true	wh_main_vo_culture_Empire	missile_infantry_bow	3	false	emp_soldier_15_degrees		false		150.0000	700.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
liebing		-1	missile_infantry	2	false	liebing	120	1	900	wh_main_shp_transport	1	1	60	900	225	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_rifle	3	true	emp_soldier_30_degrees		false		300.0000	600.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_BrightWizard	0	true	false	1	false	false		0.0000	true	1	false
mishenheiwei		2	melee_infantry	2	false	mishenheiwei	240	0	1500	wh_main_shp_transport	1	1	120	1500	375	medium		0	false	wh_main_vo_culture_Empire	infantry_spear_halberd	4	true	emp_soldier_15_degrees		false		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Captain	0	true	false	0	false	false		0.0000	true	1	false
neihuanqishi		1	monstrous_cavalry	3	false	neihuanqishi	8	0	2600	wh_main_shp_transport	1	1	4	2600	575	very_heavy		0	true	wh_main_vo_culture_Empire	flying_monstrous_cavalry	4	false	emp_reiksguard		false		2600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	true	1	false	false		0.0000	true	1	true
rongyaoqishi		2	monstrous_cavalry	2	false	rongyaoqishi	64	0	1850	wh_main_shp_transport	1	1	32	1850	463	medium		0	true	wh_main_vo_culture_Empire	monstrous_shock_cavalry	4	true	emp_demigryph_knights		false		1850.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
ruikeqishi		-1	melee_infantry	2	false	ruikeqishi	240	0	1200	wh_main_shp_transport	1	1	120	1200	275	medium		0	false	wh_main_vo_culture_Empire	infantry_sword_great	4	false	emp_soldier_15_degrees		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	0	false	false		0.0000	true	1	false
shenxue		1	melee_cavalry	3	false	shenxue	120	1	2200	wh_main_shp_transport	1	1	60	2200	475	heavy		0	false	wh_main_vo_culture_Empire	shock_cavalry	4	true	emp_reiksguard		false		2200.0000	0.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	1	false	false		0.0000	false	1	false
sheshou		2	missile_infantry	2	false	sheshou	180	1	1500	wh_main_shp_transport	1	1	90	1500	375	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_rifle	4	true	emp_soldier_30_degrees		false		300.0000	1200.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_BrightWizard	0	true	false	1	false	false		0.0000	true	1	false
syr		2	missile_infantry	2	false	syr	180	0	1500	wh_main_shp_transport	1	1	90	1500	375	light		0	false	wh_main_vo_culture_Empire	missile_infantry_bow	4	true	emp_soldier_15_degrees		false		500.0000	1000.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_WitchHunter	0	true	false	6	false	false		0.0000	true	1	false
xigemachui		2	melee_infantry	2	false	xigemachui	240	0	1500	wh_main_shp_transport	1	1	120	1500	375	medium		0	false	wh_main_vo_culture_Empire	infantry_hammer_great	4	true	emp_soldier_15_degrees		false		1500.0000	0.0000	false	vo_culture_None	false	vo_actor_Empire_dlc03_AmberWizard	0	true	false	0	false	false		0.0000	true	1	false
youlikezhanshi		2	melee_infantry	2	false	youlikezhanshi	240	0	1500	wh_main_shp_transport	1	1	120	1500	375	medium		0	false	wh_main_vo_culture_Empire	infantry_hammer_great	4	true	emp_soldier_15_degrees		false		1500.0000	0.0000	false	vo_culture_None	false	vo_actor_Empire_dlc03_AmberWizard	0	true	false	0	false	false		0.0000	true	1	false
yulintiewei		1	melee_infantry	4	false	yulintiewei	16	0	2850	wh_main_shp_transport	1	1	8	2850	700	heavy		0	false	wh_main_vo_culture_Empire	infantry_sword_great	5	true	emp_soldier_15_degrees		false		3000.0000	0.0000	false	vo_culture_None	false	wh2_dlc13_vo_actor_Empire_Markus_Wulfhart	0	true	false	0	false	false		0.0000	true	1	true
zhandouxiunv		1	melee_infantry	3	false	zhandouxiunv	160	1	2000	wh_main_shp_transport	1	1	80	2000	450	medium		0	false	wh_main_vo_culture_Empire	infantry_sword	4	true	emp_soldier_15_degrees		false		2000.0000	0.0000	false	vo_culture_None	false	wh2_dlc13_vo_actor_Kalara_of_Wydrioth	0	true	false	1	false	false		0.0000	false	1	false
zhenqiqishi		1	chariot	4	false	zhenqiqishi	32	1	2600	wh_main_shp_transport	1	1	16	2600	575	heavy		0	false	wh_main_vo_culture_Empire	emp_steam_tank	5	true	emp_soldier_15_degrees		true		2600.0000	0.0000	true	vo_culture_None	false	wh_vo_actor_silent	0	false	false	1	false	false		0.0000	false	1	false
