key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	spacing	rank_depth	morale	bonus_hit_points	training_level	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	num_engines	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	can_brace	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_@Deer24HEF
DEERHEF_AISAANGQISHI	cavalry	cav_shk	DEERHEF_AISAANGQISHI	wh2_main_unit_long_text_hef_cav_dragon_princes	2100	wh_main_cavalry_rider_standard_blood	hu1d_elf_hr1_warhorse_spear	120	DEERHEF_AISAANGQISHIma	wh_main_cavalry_ordered	8	95	98	trained	wh2_main_plate_90	none		10	0	DEERHEF_AISAANGQISHI	50	80	48	0			false	40.0000	1500.0000	DEERHEF_AISAANGQISHI	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	15	15	0	melee_flanker_shock	false	false	false	low	low	domination_cav		false			1.0000	1.0000	false	false
DEERHEF_BAISHILIECHANG	inf_melee	inf_mel	DEERHEF_BAISHILIECHANG	wh2_main_unit_long_text_hef_inf_phoenix_guard	2100	wh2_main_hef_infantry_standard_blood_dismembers_phoenix_guard	hu1d_def_sword_and_shield	0		wh2_main_hef_infantry_chaotic	10	90	129	trained	wh2_main_plate_100	wh_missile_block_55_metal		10	0	DEERHEF_BAISHILIECHANG	56	18	40	0			true	40.0000	1500.0000	DEERHEF_BAISHILIECHANG	60	80	0	vo_sel_hef_White_Lions_of_Chrace	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	30	0	melee_anti_large	false	false	false	medium	medium	domination_infantry		true			1.0000	1.0000	false	false
DEERHEF_BAITAJIANSHENG	inf_melee	inf_mel	DEERHEF_BAITAJIANSHENG	wh2_main_unit_long_text_hef_inf_swordmasters_of_hoeth_0	2100	wh2_main_hef_infantry_heavy_blood_dismembers	hu1d_elf_2handed_sword	0		wh2_main_inf_2handed_ordered	10	95	134	trained	wh2_main_plate_100	wh_missile_block_20_inaudible		10	0	DEERHEF_BAITAJIANSHENG	60	20	44	0			true	40.0000	1500.0000	DEERHEF_BAITAJIANSHENG	60	80	0	vo_sel_hef_Swordmaster_of_Hoeth	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	melee	false	false	false	medium	medium	domination_infantry		true			1.0000	1.0000	false	false
DEERHEF_DIGONGTONGWEI	inf_melee	inf_mel	DEERHEF_DIGONGTONGWEI	wh2_dlc15_unit_long_text_hef_inf_mistwalkers_faithbearers	2100	wh2_main_hef_infantry_heavy_blood_dismembers	hu1d_dlc15_yvresse_dual_sword	0		wh2_main_inf_2handed_ordered	14	90	130	trained	wh2_main_plate_90	none		10	0	DEERHEF_DIGONGTONGWEI	52	18	52	0			false	40.0000	1500.0000	DEERHEF_DIGONGTONGWEI	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	15	0	0	melee	false	false	false	default	default	domination_infantry		true			1.0000	1.0000	false	false
DEERHEF_FENGHUANGSHOUWEI	inf_melee	inf_mel	DEERHEF_FENGHUANGSHOUWEI	wh2_main_unit_long_text_hef_inf_phoenix_guard	2100	wh2_main_hef_infantry_standard_blood_dismembers_phoenix_guard	hu1d_hef_spear_and_shield	0		wh2_main_inf_2handed_ordered	10	100	137	trained	wh2_main_plate_100	wh_missile_block_55_metal		10	0	DEERHEF_FENGHUANGSHOUWEI	50	10	54	0			true	40.0000	1500.0000	DEERHEF_FENGHUANGSHOUWEI	60	80	0	vo_sel_hef_Phoenix_Guard	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	30	0	0	melee_anti_large	false	false	false	medium	medium	domination_infantry		true			1.0000	1.0000	false	false
DEERHEF_HAIMEN	inf_ranged	inf_mis	DEERHEF_HAIMEN	wh2_main_unit_long_text_hef_inf_lothern_sea_guard_1	2100	wh2_main_hef_infantry_heavy_blood_dismembers	hu1d_elf_spear_and_shield_bow	0		wh_main_infantry_2handed	8	90	60	trained	wh2_main_plate_90	wh_missile_block_55_metal	DEERHEF_HAIMEN	10	30	wh2_main_hef_spear_guard	32	6	44	0			true	40.0000	1500.0000	DEERHEF_HAIMEN	60	80	0	vo_sel_hef_Lothern_Sea_Guard	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	hybrid_melee	true	false	false	medium	medium	domination_infantry		true			1.0000	1.0000	false	false
DEERHEF_LONGZHU	war_beast	cav_shk	DEERHEF_LONGZHU	wh2_dlc15_unit_long_text_hef_inf_mistwalkers_griffon_knights	2100	wh2_main_hef_infantry_hero_tyrion_rider_blood	hu1d_hef_imrik_dlc15_wb_dr1_dragon_lance_horn	1	wh2_main_hef_mnt_star_dragon	wh_main_monster	2	90	9562	trained	wh2_main_plate_90	none		10	0	DEERHEF_LONGZHU	68	50	56	0			false	40.0000	1500.0000	DEERHEF_LONGZHU	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	25	0	flying_melee_flanker_shock_highvalue	false	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	false	false
DEERHEF_NAJIARUISIHEIWEI	inf_melee	inf_mel	DEERHEF_NAJIARUISIHEIWEI	wh2_main_unit_long_text_hef_inf_phoenix_guard	2100	wh2_main_hef_infantry_standard_blood_dismembers_phoenix_guard	hu1d_elf_halberd	0		wh2_main_inf_2handed_ordered	10	90	147	trained	wh2_main_plate_100	none		10	0	DEERHEF_NAJIARUISIHEIWEI	48	18	46	0			true	40.0000	1500.0000	DEERHEF_NAJIARUISIHEIWEI	60	80	0	vo_sel_def_Black_Guard_of_Naggarond1	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	melee_anti_large	false	false	false	medium	medium	domination_infantry		true			1.0000	1.0000	false	false
DEERHEF_NVQISHI	inf_melee	inf_mel	DEERHEF_NVQISHI	wh2_dlc15_unit_long_text_hef_inf_mistwalkers_faithbearers	2100	wh2_main_hef_infantry_heavy_blood_dismembers	hu1d_elf_sword_and_shield	0		wh2_main_inf_2handed_ordered	14	90	65	trained	wh2_main_plate_90	wh_missile_block_55_metal		10	0	DEERHEF_NVQISHI	38	15	44	0			false	40.0000	1500.0000	DEERHEF_NVQISHI	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	10	0	0	melee	false	false	false	default	default	domination_infantry		true			1.0000	1.0000	false	false
