key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!cf-Ksl-units
cf_big_brass_cannon	warmachines/engines/emp_great_cannon/cf_ksl_big_brass_cannon.rigid_model_v2	emp_great_cannon	Generic_3_Crew	wm_great_cannon01	cf_big_brass_cannon	cf_big_brass_cannon	cf_big_brass_cannon									war_machine_metal	all_riders_shooting	2.2500
cf_dazh_fire_rockets	warmachines/engines/emp_helstorm/cf_dazh_fire_rockets.rigid_model_v2	emp_helstorm_destruct	Generic_3_Crew	wm_helstorm01	cf_dazh_fire_rockets_weapon	cf_dazh_fire_rockets	wh_main_emp_art_helstorm									war_machine_metal	all_riders_shooting	1.0000
cf_erengrad_cannon	warmachines/engines/emp_great_cannon/cf_ksl_great_cannon.rigid_model_v2	emp_great_cannon	Generic_3_Crew	wm_great_cannon01	cf_erengrad_cannon	cf_erengrad_cannon	wh_main_emp_art_great_cannon									war_machine_metal	all_riders_shooting	1.2500
cf_ksl_axe_thrower	warmachines/engines/dwf_goblin_hewer/cf_ksl_axe_thrower_destroyed.rigid_model_v2		Generic_2_Crew	cf_ksl_axe_thrower	cf_ksl_axe_thrower	cf_ksl_axe_thrower	wh3_dlc25_dwf_art_goblin_hewer				warmachines\engines\dwf_goblin_hewer\tech\					war_machine_metal	all_riders_shooting	1.0000
cf_praag_cannons	warmachines/engines/dwf_organ_gun/cf_praag_cannons.rigid_model_v2	dwf_organ_gun_destruct	Generic_3_Crew	wm_organ_gun01	cf_praag_cannons	cf_praag_cannons	wh_main_dwf_art_organ_gun									war_machine_metal	all_riders_shooting	1.0000
cf_tor_mortar	warmachines/engines/emp_mortar/cf_tor_mortar_destroyed.rigid_model_v2	cf_tor_mortar_destruct	Generic_3_Crew	wm_mortar01	cf_tor_mortar	cf_tor_mortar	wh_main_emp_art_mortar									war_machine_metal	all_riders_shooting	1.0000
wh3_main_ksl_veh_little_grom_ice	warmachines/engines/ksl_little_grom/ksl_little_grom_01_destroyed.wsmodel	ksl_little_grom_01_destruct	Generic_No_Crew_Fixed	wm_wh3_little_grom01	wh3_main_ksl_little_grom_cannon_ball_ice	ksl_little_grom_01	wh3_main_vehicle_little_grom			ap_draughtposition	warmachines/engines/ksl_little_grom/tech/						all_riders_shooting	1.0000
wh3_main_ksl_veh_little_grom_mortar	warmachines/engines/ksl_little_grom/ksl_little_grom_01_destroyed.wsmodel	ksl_little_grom_01_destruct	Generic_No_Crew_Fixed	wm_wh3_little_grom01	wh3_main_ksl_little_grom_mortar	ksl_little_grom_mortar_01	wh3_main_vehicle_little_grom			ap_draughtposition	warmachines/engines/ksl_little_grom/tech/						all_riders_shooting	1.0000
wh3_main_ksl_veh_little_grom_rocket	warmachines/engines/ksl_little_grom/ksl_little_grom_01_destroyed.wsmodel	ksl_little_grom_01_destruct	Generic_No_Crew_Fixed	wm_wh3_little_grom01	wh3_main_ksl_little_grom_rockets	ksl_little_grom_rockets_01	wh3_main_vehicle_little_grom			ap_draughtposition	warmachines/engines/ksl_little_grom/tech/						all_riders_shooting	1.0000
