key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!The_Gunpowder_Road2.
cth_baizichong	warmachines/engines/cth_baizichong/cth_baizichong_canhai.rigid_model_v2	dwf_cannon_destruct	Generic_2_Crew	cth_mielupao_01	wh3_main_cth_mielupao_cannon	cth_baizichong	cth_paobing										all_riders_shooting	1.0200
cth_dajiangjun_canno	warmachines/engines/cth_dajiangjun_cannon/cth_fulangji_canhai.rigid_model_v2	dwf_cannon_destruct	Generic_2_Crew	cth_dajiangjunpao	cth_dajiangjun_cannon	cth_dajiangjun_canno	cth_paobing									war_machine_metal	all_riders_shooting	1.0000
cth_dunche	warmachines/chariot/cth_pinfengche/cth_pinfengche_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_3_Crew	cth_pinfengche	wh3_main_cth_dunche_weapon	cth_dunche	wh3_main_cth_pinfengche_huoguigongdiche			ap_draughtposition	warmachines/chariot/cth_pinfengche/tech		warmachines/chariot/cth_dunche/cth_dunche.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0200
cth_huoguigongdiche	warmachines/chariot/cth_huoguigongdiche/cth_huoguigongdiche_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_3_Crew	cth_pinfengche_huoguigongdiche	wh3_cth_rocket_battery_mid	cth_huoguigongdiche	wh3_main_cth_pinfengche_huoguigongdiche			ap_draughtposition	warmachines/chariot/cth_pinfengche/tech		warmachines/chariot/cth_huoguigongdiche/cth_huoguigongdiche.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0200
cth_huolongchushui_00	warmachines/engines/cth_huolongchushui_00/cth_huolongchushui_00_canhai.rigid_model_v2	cth_war_compass_destruct	Generic_No_Crew_Fixed	wm_wh3_warcompass01		cth_huolongchushui_00	huolongchushui00_articulation			ap_draughtposition	warmachines/engines/cth_huolongchushui_00/tech	ap_crewposition	warmachines/engines/cth_huolongchushui_00/cth_huolongchushui_00.rigid_model_v2	warmachines/engines/cth_war_compass/cth_war_compass_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_huolongchushui_fashezhendi	warmachines/engines/cth_huolongchushui_00/cth_huolongchushui_fashezhendi_canhai.rigid_model_v2	cth_war_compass_destruct	Generic_No_Crew_Fixed	wm_huolongchushui01		cth_huolongchushui_fashezhendi	cth_huolongchushui_fashezhendi			ap_draughtposition	warmachines/engines/cth_huolongchushui_fashezhendi/tech	ap_crewposition	warmachines/engines/cth_huolongchushui_fashezhendi/cth_huolongchushui_fashezhendi.rigid_model_v2	warmachines/engines/cth_war_compass/cth_war_compass_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_huoxiangche	warmachines/engines/cth_huoxiangche/cth_huoxiangche_canhai.rigid_model_v2	dwf_cannon_destruct	Generic_2_Crew	cth_huoxiangche	wh3_cth_rocket_huoxiangche_explosion	cth_huoxiangche	cth_paobing										all_riders_shooting	0.6061
cth_pianxiangche	warmachines/chariot/cth_pianxiangche/cth_pianxiangche_01_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01		cth_pianxiangche	cth_pianxiangche			ap_draughtposition	warmachines/chariot/cth_pianxiangche/tech		warmachines/chariot/cth_pianxiangche/cth_pianxiangche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_pianxiangche_fulangji	warmachines/chariot/cth_pianxiangche/cth_pianxiangche_01_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01		cth_pianxiangche_fulangji	cth_pianxiangche			ap_draughtposition	warmachines/chariot/cth_pianxiangche/tech		warmachines/chariot/cth_pianxiangche/cth_pianxiangche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_pianxiangche_light	warmachines/chariot/cth_light_pianxiangche/cth_pianxiangche_01_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01		cth_pianxiangche_light	cth_pianxiangche			ap_draughtposition	warmachines/chariot/cth_light_pianxiangche/tech		warmachines/chariot/cth_light_pianxiangche/cth_pianxiangche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_pianxiangche_light_light	warmachines/chariot/cth_light_light_pianxiangche/cth_pianxiangche_light_light_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01		cth_pianxiangche_light_light	cth_pianxiangche			ap_draughtposition	warmachines/chariot/cth_light_light_pianxiangche/tech		warmachines/chariot/cth_light_light_pianxiangche/cth_pianxiangche_light_light.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_pianxiangche_light_light_zhendi	warmachines/chariot/cth_light_light_pianxiangche/cth_pianxiangche_light_light_zhendi_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	cth_pianxiangche_zhendi		cth_pianxiangche_light_light_zhendi	cth_pianxiangche_zhendi			ap_draughtposition	warmachines/chariot/cth_light_light_pianxiangche_zhendi/tech		warmachines/chariot/cth_light_light_pianxiangche_zhendi/cth_pianxiangche_light_light_zhendi.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_pianxiangche_light_zhendi	warmachines/chariot/cth_light_pianxiangche/cth_pianxiangche_light_zhendi_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	cth_pianxiangche_zhendi		cth_pianxiangche_light_zhendi	cth_pianxiangche_zhendi			ap_draughtposition	warmachines/chariot/cth_light_pianxiangche_zhendi/tech		warmachines/chariot/cth_light_pianxiangche_zhendi/cth_pianxiangche_light_zhendi.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_pianxiangche_zhendi	warmachines/chariot/cth_pianxiangche/cth_pianxiangche_zhendi_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	cth_pianxiangche_zhendi		cth_pianxiangche_zhendi	cth_pianxiangche_zhendi			ap_draughtposition	warmachines/chariot/cth_pianxiangche_zhendi/tech		warmachines/chariot/cth_pianxiangche_zhendi/cth_pianxiangche_zhendi.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_pinfengche	warmachines/chariot/cth_pinfengche/cth_pinfengche_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_3_Crew	cth_pinfengche	wh3_main_cth_pinfengche_cannon	cth_pinfengche	wh3_main_cth_pinfengche			ap_draughtposition	warmachines/chariot/cth_pinfengche/tech		warmachines/chariot/cth_pinfengche/cth_pinfengche.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0200
cth_wankouchong	warmachines/engines/cth_wankouchong/cth_wankouchong_canhai.rigid_model_v2	dwf_cannon_destruct	Generic_2_Crew	cth_wankouchong	wh3_main_cth_wankouchong	cth_wankouchong	cth_paobing1									war_machine_metal	all_riders_shooting	0.9524
cth_zhongxingzizhongche_01	warmachines/chariot/cth_zizhongche/cth_zizhongche_01_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01		cth_zhongxingzizhongche_01	wh2_dlc13_vehicle_war_wagon			ap_draughtposition	warmachines/chariot/cth_zhongxingzizhongche01/tech		warmachines/chariot/cth_zhongxingzizhongche01/cth_zhongxingzizhongche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
cth_zizhongche	warmachines/chariot/cth_zizhongche/cth_zizhongche_01_canhai.rigid_model_v2	cth_grand_cannon_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01		cth_zizhongche	wh2_dlc13_vehicle_war_wagon			ap_draughtposition	warmachines/chariot/cth_zizhongche/tech		warmachines/chariot/cth_zizhongche/cth_zizhongche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000
