key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!!zfcr_unique_steam_tanks
dead_ksl_steamtank	warmachines\engines\ksl_steam_tank\ksl_steam_tank_destroyed.rigid_model_v2		Generic_No_Crew_Rotate	wm_steam_tank23		dead_ksl_steamtank	zfcr_emp_steam_tank_generic				warmachines/engines/emp_steam_tank23/tech						all_riders_shooting	0.8500
zfcr_emp_veh_steam_tank_alter_kamerad	warmachines\engines\emp_alter_kamerad\emp_alter_kamerad_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank23_helblaster	zfcr_emp_alter_kamerad_volley_gun	emp_alter_kamerad	zfcr_emp_steam_tank_alter_kamerad				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\emp_alter_kamerad\emp_alter_kamerad_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
zfcr_emp_veh_steam_tank_deliverance	warmachines\engines\emp_deliverance\emp_deliverance_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank23	zfcr_emp_deliverance_flame_cannon	emp_deliverance	zfcr_emp_steam_tank_deliverance				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\emp_deliverance\emp_deliverance_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
zfcr_emp_veh_steam_tank_emperors_wrath	warmachines\engines\emp_steam_tank\emp_steam_tank_destroyed_emperors_wrath_01.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank01	zfcr_emp_steam_tank_cannon_ball_emperors_wrath	emp_steam_tank_ror_0	wh_main_emp_veh_steam_tank				warmachines/engines/emp_steam_tank/tech		warmachines/engines/emp_steam_tank/emp_steam_tank_emperors_wrath_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
zfcr_emp_veh_steam_tank_implacable	warmachines\engines\emp_implacable\emp_implacable_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank23_mortar	zfcr_emp_implacable_mortar	emp_implacable	zfcr_emp_steam_tank_implacable				warmachines\engines\emp_implacable\tech		warmachines\engines\emp_implacable\emp_implacable_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
zfcr_emp_veh_steam_tank_invincible	warmachines\engines\emp_invincible\emp_invincible_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank23	zfcr_emp_invincible_cannon	emp_invincible	zfcr_emp_steam_tank_invincible				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\emp_invincible\emp_invincible_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
zfcr_emp_veh_steam_tank_patriarchs_storm	warmachines\engines\emp_unextinguishable\emp_unextinguishable_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank23_helstorm	zfcr_emp_patriarchs_storm_rocket_battery	emp_patriarchs_storm	zfcr_emp_steam_tank_patriarchs_storm				warmachines\engines\emp_unextinguishable\tech		warmachines\engines\emp_unextinguishable\emp_unextinguishable_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
zfcr_emp_veh_steam_tank_sigmars_hammer	warmachines\engines\emp_sigmars_hammer\emp_sigmars_hammer_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank23		emp_sigmars_hammer	zfcr_emp_steam_tank_sigmars_hammer				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\emp_sigmars_hammer\emp_sigmars_hammer_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
zfcr_emp_veh_steam_tank_von_zeppels	warmachines\engines\emp_von_zeppels\emp_von_zeppels_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank23		emp_von_zeppels	zfcr_emp_steam_tank_von_zeppels				warmachines\engines\emp_von_zeppels\tech		warmachines\engines\emp_von_zeppels\emp_von_zeppels_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
zfcr_skv_veh_steam_tank_rat_tank	warmachines\engines\skv_rat_tank\skv_rat_tank_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_steam_tank23	zfcr_skv_rat_tank_warp_lightning	skv_rat_tank	zfcr_skv_steam_tank_rat_tank				warmachines/engines/emp_steam_tank23/tech		warmachines\engines\skv_rat_tank\skv_rat_tank_01_destruct.wsmodel	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.anim	warmachines/engines/emp_steam_tank/emp_steam_tank_destruct.meta		all_riders_shooting	0.8500
