key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!ghs_great_harmony
cth_dark_warchariot	warmachines/aircraft/cth_fly_compass/cth_chariot_destoryed_01.rigid_model_v2	hef_tiranoc_chariot_destruct	Generic_No_Crew_Rotate	wm_tiranoc_chariot01		cth_dark_warchariot	wh2_dlc09_tmb_vehicle_chariot			ap_draughtposition	warmachines/chariot/cth_dark_chariot/tech	ap_crewposition					all_riders_shooting	1.0000
dwf_cannon_chariot1	warmachines/chariot/grn_boar_chariot/dwf_goat_chariot_02_destoryed.rigid_model_v2	grn_boar_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		dwf_cannon_chariot1	dwf_goat_chariot_heavy			ap_draughtposition	warmachines\chariot\grn_boar_chariot\tech						all_riders_shooting	1.0000
dwf_flame_cannon_chariot1	warmachines/chariot/grn_boar_chariot/dwf_goat_chariot_01_destoryed.rigid_model_v2	grn_boar_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		dwf_flame_cannon_chariot1	dwf_goat_chariot_heavy			ap_draughtposition	warmachines\chariot\grn_boar_chariot\tech						all_riders_shooting	1.0000
dwf_gun_chariot1	warmachines/chariot/grn_boar_chariot/dwf_goat_chariot_03_destoryed.rigid_model_v2	grn_boar_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		dwf_gun_chariot1	dwf_goat_chariot_heavy			ap_draughtposition	warmachines\chariot\grn_boar_chariot\tech						all_riders_shooting	1.0000
dwf_thrower_chariot1	warmachines/chariot/grn_boar_chariot/dwf_goat_chariot_01_destoryed.rigid_model_v2	grn_boar_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		dwf_thrower_chariot1	dwf_goat_chariot_heavy			ap_draughtposition	warmachines\chariot\grn_boar_chariot\tech						all_riders_shooting	1.0000
ghs_dwf_chd_veh_goblin_crusher	warmachines\engines\chd_skullcracker\ghs_dwf_skullcracker_01.wsmodel	ghs_dwf_skullcracker_destruct	Generic_No_Crew_Fixed	ghs_dwf_chd_veh_goblin_crusher		ghs_dwf_skullcracker	wh3_dlc23_chd_veh_skullcracker				warmachines/engines/chd_skullcracker/tech/	ap_crew				heavy_metal	all_riders_shooting	1.0000
ghs_dwf_veh_dreadquake	warmachines\engines\chd_dreadquake\ghs_dwf_dreadquake_01.wsmodel	ghs_dwf_dreadquake_destruct	Generic_No_Crew_Rotate	wm_dlc23_dreadquake01		ghs_dwf_dreadquake	wh3_dlc23_chd_veh_dreadquake_mortar_chassis				warmachines/engines/chd_dreadquake/tech/	ap_turret	warmachines\engines\chd_dreadquake\ghs_dwf_dreadquake_01.wsmodel	warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000
ghs_dwf_veh_iron_daemon_train	warmachines\engines\chd_iron_daemon\ghs_dwf_iron_daemon_01.wsmodel	ghs_dwf_iron_train_destruct	Generic_No_Crew_Fixed	wm_dlc23_loco01_iron_daemon	ghs_dwf_veh_iron_train	ghs_dwf_iron_train	wh3_dlc23_chd_veh_iron_daemon				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\ghs_dwf_iron_daemon_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000
ghs_dwf_veh_iron_train	warmachines\engines\chd_iron_daemon\ghs_dwf_iron_daemon_01.wsmodel	ghs_dwf_iron_train_destruct	Generic_No_Crew_Fixed	wm_dlc23_loco01_iron_daemon	ghs_dwf_veh_iron_train	ghs_dwf_iron_train	wh3_dlc23_chd_veh_iron_daemon				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\ghs_dwf_iron_daemon_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000
