key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!derpy_gunpowder_units
derpy_dwf_flame_mortar	warmachines\engines\dwf_cannon\dwf_cannon_destroyed.rigid_model_v2	dwf_cannon_destruct	Generic_3_Crew	wm_cannon01	derpy_dwf_flame_mortar	dwf_flame_mortar	derpy_medium_artillery										all_riders_shooting	1.3000
derpy_dwf_mortar	warmachines\engines\dwf_cannon\dwf_cannon_destroyed.rigid_model_v2	dwf_cannon_destruct	Generic_3_Crew	wm_cannon01	derpy_dwf_mortar	dwf_mortar	derpy_medium_artillery										all_riders_shooting	1.3000
derpy_dwf_stonebreaker	warmachines\engines\dwf_cannon\dwf_cannon_destroyed.rigid_model_v2	dwf_cannon_destruct	Generic_3_Crew	wm_cannon01	derpy_dwf_stonebreaker	dwf_stonerender_cannon	derpy_heavy_artillery										all_riders_shooting	2.0000
derpy_gp_landship	warmachines\engines\chd_dreadquake\dwf_landship_01_destruct.rigid_model_v2	derpy_dwf_landship_destroyed	Generic_No_Crew_Rotate	dwf_landship_with_tracks		derpy_gp_landship_tracks	derpy_gp_landship				warmachines\engines\chd_dreadquake\dwf\tech		warmachines\engines\chd_dreadquake\dwf_landship_01_destruct.rigid_model_v2		warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
derpy_gp_landship_1	warmachines\engines\chd_dreadquake\dwf_landship_02_destruct.rigid_model_v2	derpy_dwf_landship_1_destroyed	Generic_No_Crew_Rotate	dwf_landship_boar_roast		derpy_dwf_landship_1	derpy_gp_landship_1				warmachines\engines\chd_dreadquake\dwf2\tech		warmachines\engines\chd_dreadquake\dwf_landship_02_destruct.rigid_model_v2		warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
derpy_gp_landship_1_beer	warmachines\engines\chd_dreadquake\dwf_landship_02_destruct_beer.rigid_model_v2	derpy_dwf_landship_1_destroyed	Generic_No_Crew_Rotate	dwf_landship_boar_roast		derpy_dwf_landship_1_beer	derpy_gp_landship_1				warmachines\engines\chd_dreadquake\dwf2\tech		warmachines\engines\chd_dreadquake\dwf_landship_02_destruct_beer.rigid_model_v2		warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
derpy_gp_landship_huge	warmachines\engines\chd_dreadquake\dwf_landship_01_destruct.rigid_model_v2	derpy_dwf_landship_destroyed	Generic_No_Crew_Rotate	dwf_landship_huge		derpy_dwf_landship_huge	derpy_gp_landship				warmachines\engines\chd_dreadquake\dwf_3_ror\tech		warmachines\engines\chd_dreadquake\dwf_landship_01_destruct.rigid_model_v2		warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
derpy_gp_landship_mount	warmachines\engines\chd_dreadquake\dwf_landship_01_destruct.rigid_model_v2	derpy_dwf_landship_destroyed	Generic_No_Crew_Rotate	dwf_landship_with_tracks		derpy_dwf_landship_mount	derpy_gp_landship				warmachines\engines\chd_dreadquake\dwf_mount\tech		warmachines\engines\chd_dreadquake\dwf_landship_01_destruct.rigid_model_v2		warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
derpy_gp_turret			Generic_No_Crew_Rotate	wm_dlc23_dreadquake01			derpy_gp_turret_base_deploy		dwf_gp_turret_base		warmachines\engines\chd_dreadquake\dwf_turret\tech				warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
derpy_gp_turret_large			Generic_No_Crew_Rotate	wm_dlc23_dreadquake01			derpy_gp_turret_base_deploy		dwf_gp_turret_base_large		warmachines\engines\chd_dreadquake\dwf_turret\tech				warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
derpy_gp_turret_med			Generic_No_Crew_Rotate	wm_dlc23_dreadquake01			derpy_gp_turret_base_deploy		dwf_gp_turret_base_med		warmachines\engines\chd_dreadquake\dwf_turret\tech				warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
derpy_truck_tracks	warmachines\engines\chd_dreadquake\dwf_truck_tracks_destruct.rigid_model_v2	derpy_truck_tracks_destruct	Generic_No_Crew_Rotate	dwf_truck_tracks		derpy_truck_tracks	derpy_gp_tankette				warmachines\engines\chd_dreadquake\dwf_truck\tech		warmachines\engines\chd_dreadquake\dwf_truck_tracks_destruct.rigid_model_v2		warmachines\engines\chd_dreadquake\chd_dreadquake_mortar_destruct_01.meta	heavy_metal	all_riders_shooting	1.0000
dwf_ironblasters	warmachines/engines/emp_helblaster/emp_helblaster_destroyed.rigid_model_v2	emp_helblaster_destruct	Generic_3_Crew	dwf_triplecannon	dwf_ironblasters	dwf_ironblasters	derpy_medium_artillery										all_riders_shooting	1.2000
dwf_quarrelstorm_01	warmachines\engines\emp_helstorm\emp_helstorm_destroyed.rigid_model_v2	emp_helstorm_destruct	Generic_3_Crew	dwf_quarrelstorm	dwf_quarrelstorm_01	dwf_quarrelstorm_01	derpy_medium_artillery										all_riders_shooting	1.4000
