key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!!TW_Millennium_Public
wh_twm_brt_t5_field_gun	warmachines/engines/brt_t5_field_gun/brt_t5_field_gun_destroyed.rigid_model_v2	brt_t5_field_gun_destruct	Generic_3_Crew	wm_brt_75mm_field_gun	wh_twm_brt_75mm_cannon	brt_t5_field_gun	wh_twm_emp_art_field_gun										all_riders_shooting	1.0000
wh_twm_brt_t5_field_gun_limbered	warmachines/engines/brt_t5_field_gun/brt_t5_field_gun_mobile_destroyed.rigid_model_v2	brt_t5_field_gun_mobile_destruct	Generic_No_Crew_Rotate	wm_brt_75mm_field_gun_mobile_01		brt_t5_field_gun_mobile	wh_twm_emp_art_field_gun			ap_draughtposition	warmachines/engines/emp_t5_field_gun/tech						all_riders_shooting	1.0000
wh_twm_emp_anti_air_emplacement_01	warmachines/engines/emp_t5_anti_air_emplacement/emp_t5_anti_air_emplacement_destroyed.rigid_model_v2	emp_t5_anti_air_emplacement_destruct	Generic_No_Crew_Rotate	wm_dlc13_wagon01		emp_t5_anti_air_emplacement	wh_twm_deployable_flak_emplacement				warmachines/engines/emp_t5_bunker_machine_gun/tech						all_riders_shooting	1.0000
wh_twm_emp_bunker_machine_gun_01	warmachines/engines/emp_t5_bunker_machine_gun/emp_bunker_machine_gun_01_destroyed.rigid_model_v2	emp_bunker_machine_gun_01_destruct	Generic_No_Crew_Rotate	wm_dlc13_wagon01		emp_bunker_machine_gun_01	wh_twm_deployable_bunker				warmachines/engines/emp_t5_bunker_machine_gun/tech						all_riders_shooting	1.0000
wh_twm_emp_field_gun_emplacement	warmachines/deployables/emp_t5_field_gun_emplacement/emp_t5_field_gun_emplacement_destroyed.rigid_model_v2	emp_t5_field_gun_emplacement_destruct	Generic_3_Crew	dp_emp_t5_field_gun_emplacement	wh_twm_emp_7,7cm_cannon	emp_t5_field_gun_emplacement	wh_twm_emp_field_gun_emplacement										all_riders_shooting	1.0000
wh_twm_emp_heavy_flame_thrower_emplacement	warmachines/deployables/emp_t5_heavy_flame_thrower_emplacement/emp_t5_heavy_flame_thrower_emplacement_destroyed.rigid_model_v2	emp_t5_heavy_flame_thrower_emplacement_destruct	Generic_3_Crew	dp_emp_t5_heavy_flame_thrower_emplacement	wh_twm_emp_heavy_flame_projector	emp_t5_heavy_flame_thrower_emplacement	wh_twm_emp_heavy_flame_thrower_emplacement										all_riders_shooting	1.0000
wh_twm_emp_heavy_mortar_emplacement_01	warmachines/engines/emp_t5_heavy_mortar_emplacement/emp_t5_heavy_mortar_emplacement_destroyed.rigid_model_v2	emp_t5_heavy_mortar_emplacement_destruct	Generic_3_Crew	wm_7,58cm_mortar	wh_twm_emp_17cm_mortar	emp_t5_heavy_mortar_emplacement	wh_twm_deployable_mortar_emplacement										all_riders_shooting	1.0000
wh_twm_emp_mak_44_cannon_emplacement	warmachines/deployables/emp_t5_mak_44_emplacement/emp_t5_mak_44_cannon_emplacement_destroyed.rigid_model_v2	emp_t5_mak_44_emplacement_destruct	Generic_3_Crew	dp_emp_t5_mak_44_cannon_emplacement	wh_twm_emp_12,8cm_cannon	emp_t5_mak_44_emplacement	wh_twm_emp_mak_44_cannon_emplacement										all_riders_shooting	1.0000
wh_twm_emp_super_heavy_mortar_emplacement	warmachines/deployables/emp_t5_super_heavy_mortar_emplacement/emp_t5_super_heavy_mortar_emplacement_destroyed.rigid_model_v2	emp_t5_super_heavy_mortar_emplacement_destruct	Generic_3_Crew	dp_emp_t5_super_heavy_mortar_emplacement	wh_twm_emp_42cm_mortar	emp_t5_super_heavy_mortar_emplacement	wh_twm_emp_super_heavy_mortar_emplacement										all_riders_shooting	1.0000
wh_twm_emp_t5_ammo_bunker	warmachines\battlefield_buildings\emp_t5_ammo_bunker\emp_t5_ammo_bunker_destroyed.rigid_model_v2	emp_t5_ammo_bunker_destruct	Generic_No_Crew_Rotate	bb_emp_t5_ammo_bunker_01		emp_t5_ammo_bunker	wh_twm_building_emp_ammo_bunker				warmachines/battlefield_buildings/emp_t5_ammo_bunker/tech						all_riders_shooting	1.0000
wh_twm_emp_t5_ammo_truck	warmachines/chariot/emp_t5_transport_truck/emp_t5_transport_truck_ammo_destroyed.rigid_model_v2	emp_t5_ammo_truck_destruct	Generic_No_Crew_Rotate	wm_emp_truck_ammo_01		emp_t5_ammo_truck	wh_twm_transport_truck									plate	all_riders_shooting	1.0000
wh_twm_emp_t5_artillery_depot	warmachines\battlefield_buildings\emp_t5_artillery_depot\emp_t5_artillery_depot_destroyed.rigid_model_v2	emp_t5_artillery_depot_destruct	Generic_No_Crew_Rotate	bb_emp_t5_artillery_depot_01		emp_t5_artillery_depot	wh_twm_building_emp_artillery_depot				warmachines/battlefield_buildings/emp_t5_artillery_depot/tech						all_riders_shooting	1.0000
wh_twm_emp_t5_field_barracks	warmachines\battlefield_buildings\emp_t5_field_barracks\emp_t5_field_barracks_destroyed.rigid_model_v2	emp_t5_field_barracks_destruct	Generic_No_Crew_Rotate	bb_emp_t5_field_barracks_01		emp_t5_field_barracks	wh_twm_building_emp_field_barracks				warmachines/battlefield_buildings/emp_t5_field_barracks/tech						all_riders_shooting	1.0000
wh_twm_emp_t5_field_gun	warmachines/engines/emp_t5_field_gun/emp_t5_field_gun_destroyed.rigid_model_v2	emp_t5_field_gun_destruct	Generic_3_Crew	wm_emp_7,7cm_field_gun	wh_twm_emp_7,7cm_cannon	emp_t5_field_gun	wh_twm_emp_art_field_gun										all_riders_shooting	1.0000
wh_twm_emp_t5_field_gun_limbered	warmachines/engines/emp_t5_field_gun/emp_t5_field_gun_mobile_destroyed.rigid_model_v2	emp_t5_field_gun_mobile_destruct	Generic_No_Crew_Rotate	wm_emp_7,7cm_field_gun_mobile_01		emp_t5_field_gun_mobile	wh_twm_emp_art_field_gun			ap_draughtposition	warmachines/engines/emp_t5_field_gun/tech						all_riders_shooting	1.0000
wh_twm_emp_t5_field_hospital	warmachines\battlefield_buildings\emp_t5_field_hospital\emp_t5_field_hospital_destroyed.rigid_model_v2	emp_t5_field_hospital_destruct	Generic_No_Crew_Rotate	bb_emp_t5_field_hospital_01		emp_t5_field_hospital	wh_twm_building_emp_field_hospital				warmachines/battlefield_buildings/emp_t5_field_hospital/tech						all_riders_shooting	1.0000
wh_twm_emp_t5_field_howitzer	warmachines/engines/emp_t5_field_howitzer/emp_t5_field_howitzer_destroyed.rigid_model_v2	emp_t5_field_howitzer	Generic_3_Crew	wm_emp_10,5cm_field_howitzer	wh_twm_emp_10,5cm_howitzer_chemical	emp_t5_field_howitzer	wh_twm_emp_art_field_gun										all_riders_shooting	1.0000
wh_twm_emp_t5_field_howitzer_limbered	warmachines/engines/emp_t5_field_howitzer/emp_t5_field_howitzer_mobile_destroyed.rigid_model_v2	emp_t5_field_howitzer_destruct	Generic_No_Crew_Rotate	wm_emp_10,5cm_field_howitzer_mobile_01		emp_t5_field_howitzer_mobile	wh_twm_emp_art_field_gun			ap_draughtposition	warmachines/engines/emp_t5_field_howitzer/tech						all_riders_shooting	1.0000
wh_twm_emp_t5_general_car	warmachines/chariot/emp_t5_general_car/emp_t5_general_car_destroyed.rigid_model_v2	emp_t5_general_car_destruct	Generic_No_Crew_Rotate	wm_emp_general_car_01		emp_t5_general_car	wh_twm_general_car				warmachines/chariot/emp_t5_general_car/tech					plate	all_riders_shooting	1.0000
wh_twm_emp_t5_general_willhelm_car	warmachines/chariot/emp_t5_general_car/emp_t5_general_car_destroyed.rigid_model_v2	emp_t5_general_car_destruct	Generic_No_Crew_Rotate	wm_emp_general_car_willhelm_01		emp_t5_general_car	wh_twm_general_car				warmachines/chariot/emp_t5_general_car/tech					plate	all_riders_shooting	1.0000
wh_twm_emp_t5_headquarters	warmachines/battlefield_buildings/emp_t5_headquarters/emp_t5_headquarters_destroyed.rigid_model_v2	emp_t5_headquarters_destruct	Generic_No_Crew_Rotate	bb_emp_t5_headquarters_01		emp_t5_headquarters	wh_twm_building_emp_headquarters				warmachines/battlefield_buildings/emp_t5_headquarters/tech						all_riders_shooting	1.0000
