key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!!!snek_dawi_thunder
snek_dwf_art_sappers_bolt_thrower	warmachines\engines\dwf_bolt_thrower\dwf_bolt_thrower_destroyed.rigid_model_v2	dwf_bolt_thrower_destruct	Generic_3_Crew	wm_bolt_thrower02	snek_dwf_art_sappers_bolt_thrower	dwf_bolt_thrower	wh_dlc06_dwf_art_boltthrower										all_riders_shooting	1.0000
snek_dwf_art_sappers_goblin_hewer	warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destroyed.wsmodel	dwf_goblin_hewer_destruct	Generic_2_Crew	wm_dlc25_hewer01	snek_dwf_art_sappers_goblin_hewer	dwf_goblin_hewer	wh3_dlc25_dwf_art_goblin_hewer				warmachines\engines\dwf_goblin_hewer\tech\		warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destruct.wsmodel	warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destruct.anim			all_riders_shooting	1.0000
snek_dwf_art_sappers_organ_gun	warmachines\engines\dwf_organ_gun\dwf_organ_gun_destroyed_01.rigid_model_v2	dwf_organ_gun_destruct	Generic_3_Crew	wm_organ_gun01	snek_dwf_art_sappers_organ_gun	dwf_organ_gun	wh_main_dwf_art_organ_gun										all_riders_shooting	1.0000
snek_dwf_bombard	warmachines/engines/emp_mortar/dwf_mortar_destroyed.rigid_model_v2	snek_dwf_bombard_destruct	Generic_3_Crew	wm_mortar01	snek_dwf_bombard	snek_dwf_bombard	wh_main_emp_art_mortar										all_riders_shooting	1.0000
snek_dwf_breaker_cannon	warmachines/engines/dwf_cannon/dwf_breaker_cannon_destroyed.rigid_model_v2	snek_dwf_breaker_cannon_destruct	Generic_3_Crew	wm_cannon01	snek_dwf_breaker_cannon	snek_dwf_breaker_cannon	wh_main_dwf_art_light_cannon										all_riders_shooting	1.0000
snek_dwf_cycle	warmachines/engines/dwf_cycle/dwf_motorcycle_cannon_destroyed.rigid_model_v2	snek_dwf_cycle_destruct	Generic_No_Crew_Fixed	wm_dwf_cycle		snek_dwf_cycle	snek_dwf_cycle				warmachines\engines\dwf_cycle\tech	ap_crewposition				war_machine_metal	all_riders_shooting	1.0000
snek_dwf_mining_plow	warmachines/engines/dwf_miningcart01/dwf_steam_plow_destroyed.rigid_model_v2	snek_dwf_mining_plow_destruct	Generic_No_Crew_Rotate	wm_mining_wagon_01		snek_dwf_mining_plow	snek_dwf_mining_plow				warmachines\engines\dwf_miningcart01\tech						all_riders_shooting	1.0000
snek_dwf_tank	warmachines/engines/emp_steam_tank/dwf_steam_tank_destroyed.rigid_model_v2	snek_dwf_tank_destruct	Generic_No_Crew_Rotate	wm_dwf_steam_tank	snek_dwf_tank	snek_dwf_tank	wh_main_dwf_vehicle_steam_tank				warmachines\engines\emp_steam_tank\tech						all_riders_shooting	1.0000
snek_dwf_thunder_cannon	warmachines/engines/emp_great_cannon/dwf_thunder_cannon_destroyed.rigid_model_v2	snek_dwf_thunder_cannon_destruct	Generic_3_Crew	wm_great_cannon01_large	snek_dwf_thunder_cannon	snek_dwf_thunder_cannon	wh_main_dwf_art_thunder_cannon										all_riders_shooting	1.0000
