key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/glf_battle_mage				
glf_mage_lord_beasts_missile	false	glf_mage_lord_beasts_projectile		false
glf_mage_lord_death_missile	false	glf_mage_lord_death_projectile		false
glf_mage_lord_fire_missile	false	glf_mage_lord_fire_projectile		false
glf_mage_lord_heavens_missile	false	glf_mage_lord_heavens_projectile		false
glf_mage_lord_high_missile	false	glf_mage_lord_high_projectile		false
glf_mage_lord_life_missile	false	glf_mage_lord_life_projectile		false
glf_mage_lord_light_missile	false	glf_mage_lord_light_projectile		false
glf_mage_lord_metal_missile	false	glf_mage_lord_metal_projectile		false
glf_mage_lord_shadows_missile	false	glf_mage_lord_shadows_projectile		false
glf_mage_hero_beasts_missile	false	glf_mage_hero_beasts_projectile		false
glf_mage_hero_death_missile	false	glf_mage_hero_death_projectile		false
glf_mage_hero_fire_missile	false	glf_mage_hero_fire_projectile		false
glf_mage_hero_heavens_missile	false	glf_mage_hero_heavens_projectile		false
glf_mage_hero_high_missile	false	glf_mage_hero_high_projectile		false
glf_mage_hero_life_missile	false	glf_mage_hero_life_projectile		false
glf_mage_hero_light_missile	false	glf_mage_hero_light_projectile		false
glf_mage_hero_metal_missile	false	glf_mage_hero_metal_projectile		false
glf_mage_hero_shadows_missile	false	glf_mage_hero_shadows_projectile		false
glf_mage_lord_dark_missile	false	glf_mage_lord_dark_projectile		false
glf_mage_hero_dark_missile	false	glf_mage_hero_dark_projectile		false
glf_hef_teclis_missile	false	glf_hef_teclis_projectile		false
glf_hef_alarielle_missile	false	glf_hef_alarielle_projectile		false
glf_def_morathi_missile	false	glf_def_morathi_projectile		false
glf_skv_lord_skrolk_missile	false	glf_skv_lord_skrolk_projectile		false
glf_skv_grey_seer_ruin_missile	false	glf_skv_grey_seer_ruin_projectile		false
glf_skv_plague_priest_missile	false	glf_skv_plague_priest_projectile		false
glf_skv_eshin_sorcerer_missile	false	glf_skv_eshin_sorcerer_projectile		false
glf_lzd_lord_mazdamundi_missile	false	glf_lzd_lord_mazdamundi_projectile		false
glf_lzd_lord_kroak_missile	false	glf_lzd_lord_kroak_projectile		false
glf_tmb_khatep_missile	false	glf_tmb_khatep_projectile		false
glf_tmb_arkhan_missile	false	glf_tmb_arkhan_projectile		false
glf_mage_lord_nehekhara_missile	false	glf_mage_lord_nehekhara_projectile		false
glf_mage_hero_nehekhara_missile	false	glf_mage_hero_nehekhara_projectile		false
glf_cst_cylostra_missile	false	glf_cst_cylostra_projectile		false
glf_ksl_katarin_missile	false	glf_ksl_katarin_projectile		false
glf_mage_lord_ice_missile	false	glf_mage_lord_ice_projectile		false
glf_mage_lord_tempest_missile	false	glf_mage_lord_tempest_projectile		false
