key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!!!!1a_glf_unit_expansion
glf_sp_war_elephants	hq3_mammoth	wh_dlc08_nor_mon_mammoth_howdah_blood	body	glf_sp_war_elephants_howdah	vo_culture_Invalid
glf_cth_jade_chariot_crossbow_mount	hr1_warhorse_draught	glf_cth_jade_chariot_crossbow_mount	plate	wh3_main_cth_mnt_horse_heavy	wh_main_vo_culture_Horse
glf_brt_royal_knights_of_the_realm_mount	hr1_warhorse	wh_main_brt_mnt_cavalry_knights_blood	plate	glf_brt_royal_knights_of_the_realm_mount	wh_main_vo_culture_Horse
glf_emp_knights_panther_mount	hr1_warhorse	wh_main_cavalry_slow_blood	plate	glf_emp_knights_panther_mount	wh_main_vo_culture_Horse
glf_lzd_serpent_riders_mount	glf_sn1_lzd_serpent	wh2_dlc09_tmb_cav_necroserpent	bone	glf_lzd_serpent_riders_mount	vo_culture_None
glf_sp_knights_of_the_raging_bull_mount	glf_teb_ox1_knights_mount	glf_sp_knights_of_the_raging_bull_mount	plate	glf_sp_knights_of_the_raging_bull_mount	wh3_dlc23_vo_culture_Chd_Bale_Taurus
glf_hef_white_lion_riders_mnt_lion	bc4_dlc15_lion	glf_hef_white_lion_riders_mnt_lion	body	glf_hef_white_lion_riders_mnt_lion	wh_main_vo_culture_Var_Creature
glf_def_mnt_armoured_dark_steed	hr1_warhorse	wh2_main_hef_mnt_barded_steed	plate	glf_def_mnt_armoured_dark_steed	wh_main_vo_culture_Skeletal_horse
glf_ksl_monk_riders_mnt_horse	hr1_warhorse	wh3_main_ksl_cav_winged_lancers_0	leather	glf_ksl_monk_riders_mnt_horse	wh_main_vo_culture_Horse
