key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!ghs_great_harmony
rhd_land_skv_inf_tesla_trooper_0_missile_weapon	false	rhd_land_skv_inf_tesla_trooper_0_missile_weapon		false
cth_jade_warrior_rifle	false	cth_jade_warrior_rifle_bullet	repeater_rifle	false
lzd_pyramid_chotec	false	lzd_pyramid_chotec		false
ksl_ice_guard_bear_bow	false	ksl_ice_guard_bear_bow	bow	false
ksl_kreml_guard_pistol_bullet	false	ksl_kreml_guard_pistol_bullet	hand_cannon	false
dwf_goat_ranger_rifle	false	dwf_goat_ranger_rifle	repeater_gun	false
cth_fly_compass_thunder	false	cth_fly_compass_thunder		false
ghs_cth_mon_dragon_titan_missile	false	ghs_cth_mon_dragon_titan_missiles		false
ghs_inf_wef_sisters_thorn_moonfire	false	ghs_inf_wef_sisters_thorn_moonfire	bow	false
ksl_kreml_guard_rifle_bullet	false	ksl_kreml_guard_rifle_bullet	repeater_gun	false
ghs_tmb_ushabti_eagle_cannon	false	ghs_tmb_ushabti_eagle_cannon		false
ghs_inf_def_medusa_defender_halberd	false	ghs_inf_def_medusa_defender_halberd	wh2_dlc14_medusa_gaze	false
dwf_morgrim	false	dwf_morgrim	flame_cannon	false
skv_mon_hellpit_ratling	false	skv_mon_hellpit_ratling	wh2_dlc12_ratling_gun	false
cth_black_snow_crossbow_longma	false	cth_black_snow_crossbow_longma	crossbow	false
skv_mon_hellpit_warpflame	false	skv_mon_hellpit_warpflame	warpfiregun	false
rhd_land_skv_inf_night_runners_warpstone_0_missile_weapon	false	rhd_land_skv_inf_night_runners_warpstone_0_missile_weapon		false
rhd_land_skv_inf_night_runners_warpstone_1_missile_weapon	false	rhd_land_skv_inf_night_runners_warpstone_1_missile_weapon		false
ghs_cth_inf_jade_sword_master_blood	false	ghs_cth_inf_jade_sword_master_blood	crossbow	false
ghs_cav_hef_ellyrian_reavers_pegasus_rider	false	ghs_cav_hef_ellyrian_reavers_pegasus_rider	bow	false
dwf_grungni	false	dwf_grungni	cannon	false
ghs_mon_hef_tree_man_archer	false	ghs_mon_hef_tree_man_archer	bow_large	false
ghs_wm_hef_flying_waystone	false	ghs_wm_hef_flying_waystone		false
dwf_rune_guard_axe_and_cannon	false	dwf_rune_guard_axe_and_cannon	hand_cannon	false
dwf_valaya	false	dwf_valaya	cannon	false
ghs_wm_def_black_ark	false	ghs_wm_def_black_ark	wh2_dlc14_medusa_gaze	false
cth_jade_warrior_sharpnel_launcher	false	cth_jade_warrior_sharpnel_launcher	hand_cannon	false
kho_warrior_shooter_missile	false	kho_warrior_shooter_projectile	repeater_gun	false
ogr_crossbow_bolt	false	ogr_crossbow_bolt	crossbow	false
dwf_flame_cannon_chariot	false	dwf_flame_cannon_chariot	flame_cannon	false
dwf_gun_chariot	false	dwf_gun_chariot	orgun_gun	false
cth_jade_warrior_grenade_launcher	false	cth_jade_warrior_grenade	grenade_launcher	false
dwf_goat_drakegun_grenade	false	dwf_goat_drakegun_grenade	troll_hammer	false
dwf_titan_cannon	false	dwf_titan_cannon	cannon	false
ghs_main_sla_mon_titan_missile	false	ghs_main_sla_mon_titan_missile		false
skv_hellpit_globe_rider	false	skv_hellpit_globe_rider		false
rhd_land_skv_inf_gutter_runner_slingers_warpstone_0_missile_weapon	false	rhd_land_skv_inf_gutter_runner_slingers_warpstone_0_missile_weapon		false
ghs_def_mon_flying_medusa	false	ghs_def_mon_flying_medusa	wh2_dlc14_medusa_gaze	false
ghs_dwf_inf_highking_guard_missile	false	ghs_dwf_inf_highking_guard_missile	wh3_dlc23_fireglaive	false
lzd_pyramid_tepok	false	lzd_pyramid_tepok		false
ghs_main_kho_mon_titan_missile	false	ghs_main_kho_mon_titan_missile		false
ghs_mon_wef_treeman_guard_summer	false	ghs_mon_wef_treeman_guard_summer		false
ghs_main_tze_mon_titan_missile	false	ghs_main_tze_mon_titan_missile		false
dwf_grimnir	false	dwf_grimnir	cannon	false
ghs_dwf_veh_iron_train	false	ghs_dwf_veh_iron_train	cannon	false
rhd_land_skv_inf_skavenslave_slingers_warpstone_0_missile_weapon	false	rhd_land_skv_inf_skavenslave_slingers_warpstone_0_missile_weapon		false
ghs_def_armour_hydra_breath	false	ghs_def_armour_hydra_breath		false
ogr_gbnoblar_mortar	false	ogr_gbnoblar_mortar	poison_wind_mortar	false
ogr_lioneater_cannon	false	ogr_lioneater_cannon_ball	grand_cannon	false
ghs_ksl_ursun_bear_grom_cannon_ball	false	ghs_ksl_ursun_bear_grom_cannon_ball		false
kho_warrior_thrower_missile	false	kho_warrior_thrower_projectile		false
dwf_cannon_chariot	false	dwf_cannon_chariot	cannon	false
cth_terracotta_bow	false	cth_terracotta_arrow		false
ghs_lzd_mon_chief_stegadon	false	ghs_lzd_mon_chief_stegadon	bolt_mounted	false
ghs_dwf_veh_dreadquake_mortar	false	ghs_dwf_veh_dreadquake_mortar	magma_cannon	false
cth_black_snow_crossbow_shield	false	cth_black_snow_crossbow_shield	crossbow	false
tmb_scarab_flying_arrow	false	tmb_scarab_flying_arrow	bow	false
snek_dwf_githammers	false	snek_dwf_githammers	poison_wind_mortar	false
dwf_missile_dwfling_mecha	false	dwf_missile_dwfling_mecha	repeater_gun_LH	false
ksl_kreml_guard_bomb	false	ksl_kreml_guard_bomb		false
cth_giant_ox_flame	false	wh3_cth_iron_hail_gun_bullet	hand_cannon	false
cth_terracotta_rocket	false	cth_terracotta_rocket		false
ghs_hef_skycutter_bolt_thrower_bolt	false	ghs_hef_skycutter_bolt_thrower_bolt	bolt_launcher_eagle_claw	false
lzd_pyramid_tzunki	false	lzd_pyramid_tzunki		false
dwf_runeguard_catling_rifle	false	dwf_runeguard_catling_bullet	repeater_rifle	false
ghs_mon_flying_fish_bow	false	ghs_mon_flying_fish_bow	bow	false
cth_female_rifle	false	cth_female_bullet	repeater_gun	false
ghs_inf_wef_oak_tree_guard	false	ghs_inf_wef_oak_tree_guard	bow	false
rhd_land_skv_inf_gutter_runners_warpstone_0_missile_weapon	false	rhd_land_skv_inf_gutter_runners_warpstone_0_missile_weapon		false
snek_dwf_crank_gunners	false	snek_dwf_crank_gunners	repeater_rifle	false
tmb_elephant_arrow_flammable	false	tmb_elephant_arrow_flammable	bow	false
ogr_fireman_flamethrower	false	ogr_fireman_flamethrower		false
dwf_thrower_chariot	false	dwf_thrower_chariot	bolt_large	false
ghs_cav_hef_fire_dragon_prince	false	ghs_cav_hef_fire_dragon_prince		false
ghs_mon_wef_treeman_guard_spring	false	ghs_mon_wef_treeman_guard_spring		false
cth_dragon_turtle	false	cth_dragon_turtle_bolt	bolt_large	false
