key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!derpy_gunpowder_units
derpy_dwf_8mm_gp_deployed_turret	false	derpy_dwf_8mm_gp_turret	gatling_gun	false
derpy_dwf_25mm_gp_deployed_turret	false	derpy_dwf_25mm_gp_turret	deck_gunner_cannon	false
derpy_dwf_25mm_gp	false	derpy_dwf_25mm_gp	deck_gunner_cannon	false
dwf_karaklad_ironbucklers_bullet	false	dwf_karaklad_ironbucklers_bullet	pistol_Ogre	false
dwf_cinderbomb_bullet	false	dwf_cinderbomb_bullet	grenade_launcher	false
derpy_dwf_multi_rocket	false	derpy_dwf_multi_rocket	rocket_battery	false
dwf_thunderbreaker_bullet	false	dwf_thunderbreaker_bullet	pistol_Ogre_LH	false
derpy_dwf_8mm_gp	false	derpy_dwf_8mm_gp	gatling_gun	false
dwf_pistol_bulet	false	dwf_pistol_bulet	pistol_Ogre_LH	false
dwf_gunaxe_bullet_slayer	false	dwf_gunaxe_exp_bullet	deck_gunner_cannon	false
dwf_volleygun_rifle_bullet	false	dwf_volleygun_rifle_bullet	deck_gunner_cannon	false
derpy_main_dwf_homing_gp	false	derpy_dwf_homing_gp	rocket_battery	false
derpy_dwf_af_gp	false	derpy_dwf_af_gp	troll_hammer	false
dwf_ironblasters_turret	false	dwf_ironblaster_bullet_turret	grand_cannon	false
dwf_gatling_bullet_turret	false	dwf_gatling_bullet_turret	iron_blaster	false
derpy_dwf_drakkfire_laser_turret	false	derpy_dwf_drakkfire_laser_turret	wh3_dlc23_iron_daemon_flamethrower	false
dwf_gunaxe_bullet	false	dwf_gunaxe_bullet	deck_gunner_cannon	false
