key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!The_Gunpowder_Road2.
cth_dulongpenhuoshentong	false	cth_dulongpenhuoshentong	drakegun	false
cth_feimengpao	false	cth_feimengpao	grenade_launcher	false
cth_huolongchushui	false	cth_huolongchushui	rocket_battery	false
cth_huonuliuxingjian	false	cth_huonuliuxingjian	rocket_battery	false
cth_pianxiangche_cannon	false	cth_pianxiangche_cannon	great_cannon	false
wh3_cth_niaochong	false	wh3_cth_niaochong_bullet	repeater_gun	false
wh3_cth_rocket_battery_small	false	wh3_cth_rocket_small	rocket_battery	false
wh3_cth_sanjieshenji	false	wh3_cth_sanjieshenji_bullet	repeater_gun	false
wh3_cth_wuleishenji_bullet	false	cth_wuleishenji_bullet	repeater_gun	false
wh3_main_cth_huochong	false	wh3_main_cth_huochong_bullet	pistol	false
wh3_main_cth_sanyanchong	false	wh3_main_cth_sanyanchong_bullet	pistol	false
wh3_main_cth_xunleichong	false	wh3_main_cth_xunleichong_bullet	repeater_gun	false
