key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!_sartosa_overhaul
sartosa_whaler_javelin	true	sartosa_whaler_javelin	none	false
sartosa_buccaneer_handcannon	false	sartosa_buccaneer_handcannon_bullet	hand_cannon	false
sartosa_handgun	false	sartosa_rifle_bullet	repeater_gun	false
sartosa_saboteur_handcannon	false	sartosa_saboteur_bomb	hand_cannon	false
sartosa_buccaneer_deck_gun	false	sartosa_buccaneer_deck_gun_bullet	repeater_rifle	false
sartosa_buccaneer_grenade	true	wh2_dlc11_cst_bomb	none	false
sartosa_buccaneer_torpedo	false	sartosa_buccaneer_torpedo	troll_hammer	false
sartosa_buccaneer_blunderbuss	false	sartosa_blunderbuss_bullet	hand_cannon	false
sartosa_buccaneer_drakegun	false	sartosa_buccaneer_drakegun_flame	drakegun	false
sartosa_rifle_promethean_bullet	false	sartosa_rifle_promethean_bullet	repeater_gun_LH	false
sartosa_privateer_pistol	false	sartosa_privateer_bullet	pistol	false
cathay_pirate_crossbow	false	cathay_pirate_crossbow_bolt	crossbow	false
