variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/!!!!!!!2xunitsize_compat_DEER24Cathay
burenjia_ma	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	burenjia_ma	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
chituma	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	chituma	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
deer_baochuan	1\baochuan\tech	deer_baochuan		1.0000	1.0000	0.0000	
deer_cth_hanxin_bixie	VariantMeshes\wh_variantmodels\bc2\cth\cth_celestial_lion\tech	deer_cth_hanxin_bixie		1.4000	1.1500	0.0000	
deer_cth_jinfo_lion	VariantMeshes\wh_variantmodels\bc2\cth\cth_celestial_lion\tech	deer_cth_jinfo_lion		1.4000	1.1500	0.0000	
deer_cth_tianshi_qilin	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	deer_cth_tianshi_qilin	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
deer_cth_yangjian_horse	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	deer_cth_yangjian_horse	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
deer_cth_zhouyu_horse2	warmachines/aircraft/cth_sky_junk/tech/	deer_cth_zhouyu_horse2		1.0000	1.0000	0.0000	
deer_cth_zhugeliang_3	VariantMeshes\wh_variantmodels\bi1\cth\cth_great_moon_bird\tech	deer_cth_zhugeliang_3		1.0000	1.1500	0.0000	
doushen_longma	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	doushen_longma	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
guanyu_horse	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	guanyu_horse	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
jinwu_longma	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	jinwu_longma	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
qinqiong_ma	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	qinqiong_ma	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
wh3_deer24_BAIMA	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	wh3_deer24_BAIMA	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
wh3_deer24_MA	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	cth_horse_lord	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
wh3_deer24_QILIN	VariantMeshes\wh_variantmodels\st1\wef\wef_great_stag\tech	wh3_deer24_QILIN	st1\wef\wef_great_stag\wef_great_stag_imposter	1.4500	1.0000	0.0000	
wh3_deer24_QINTONGLONGMA	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	wh3_deer24_QINTONGLONGMA	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
wh3_deer24_chishizi	VariantMeshes/wh_variantmodels/br1/ksl/ksl_bear/tech	wh3_deer24_chishizi		1.0000	1.0000	0.0000	
wh3_deer24_jiaNUQIma		wh3_deer24_jiaNUQIma		1.0500	1.0300	0.0500	
wh3_deer24_jinhunqilin	VariantMeshes\wh_variantmodels\st1\wef\wef_great_stag\tech	wh3_deer24_jinhunqilin	st1\wef\wef_great_stag\wef_great_stag_imposter	1.4500	1.0000	0.0000	
wh3_deer24_jiuselu	VariantMeshes\wh_variantmodels\st1\wef\wef_great_stag\tech	wh3_deer24_jiuselu	st1\wef\wef_great_stag\wef_great_stag_imposter	1.4500	1.0000	0.0000	
wh3_deer24_moxian	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	wh3_deer24_moxian	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
wh3_deer24_niuniu	VariantMeshes/_VariantModels/oxen01/tech/	wh3_deer24_niuniu		1.1000	1.1000	0.0000	
wh3_deer24_panda	VariantMeshes/wh_variantmodels/br1/ksl/ksl_bear/tech	wh3_deer24_panda		1.0000	1.0000	0.0000	
wh3_deer24_yangjiama	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	wh3_deer24_yangjiama	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
wwd_jinjun_fengyunlanlongma	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	wwd_jinjun_fengyunlanlongma	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.1500	1.0000	0.0000	
wwd_shugengan_moqilin	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	deer_cth_longnv_moqilin	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
yushihujun_ma	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	yushihujun_ma	hr1/cth/cth_horse/cth_horse_heavy_01_imposter	1.0000	1.0000	0.0000	
