variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/!!!!!!!2xunitsize_compat_!!scm_motm
gnoblar_spider_chariot_spider		grn_giant_spider		1.0000	1.1000	0.0500	
hunter_spider_chariot_spider		grn_giant_spider		1.0000	2.0000	0.0500	
lab_skv_brood_horror_mount	variantmeshes/wh_variantmodels/tech	lab_skv_brood_horror_mount		1.3500	0.9000	0.0000	
motm_gutter_stonehorn	VariantMeshes\wh_variantmodels\hq3b\ogr\ogr_stonehorn\tech\	motm_gutter_stonehorn		0.8500	1.0000	0.0000	
motm_vazgrat_rhinox	variantmeshes/wh_variantmodels/hq2/ogr/ogr_lucky_rhinox/tech	motm_vazgrat_rhinox		1.0000	1.0000	0.0000	
motm_white_rhinox		motm_sandgrinder_rhinox		1.0000	1.0000	0.0000	
ogr_lava_arachnarok_ror_spider	VariantMeshes/wh_variantmodels/sp1/grn/grn_arachnorok/tech/	ogr_lava_arachnarok_ror_spider		4.6500	0.9000	0.0000	
um_bul_mallet_arachnarok	variantmeshes/wh_variantmodels/sp1/grn/um_bul_mallet_arachnorok/tech	um_bul_mallet_arachnarok		4.6500	0.9000	0.0000	
um_ogr_blackpowder_draft		um_ogr_blackpowder_mournfang		1.0000	1.0000	0.0000	
um_ogr_flamefang		um_ogr_flamefang		1.0000	1.0000	0.0000	
