key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_!kitties
2hswtiga	humanoid06f
armorshieldtiga	humanoid06f
berstiga	humanoid06f
commandertiga	humanoid06f
cthcommander	humanoid06f
dagatiga	humanoid06f
durgalion	bigcat04
fat1	humanoid01c
gorilla1	humanoid18c
halberdtiga	humanoid06f
hyena1	humanoid01
hyena1bola	humanoid01
hyena2	humanoid06f
hyena2ror	humanoid06f
hyenacaster	humanoid01c
hyenacastergrey	humanoid01c
hyenacrew	humanoid06f
hyenacrew2	humanoid06f
hyenaharpoon	humanoid06f
hyenaland	bigcat04
hyenaskull	humanoid06f
jaguar1hero	humanoid01c
jaguar1prone	humanoid01c
kitty	humanoid01
kitty2	humanoid01
leo1	humanoid01c
rhino1	heavyquadruped02
rortiga	humanoid06f
rudhi	humanoid06f
shieldtiga	humanoid06f
speartiga	humanoid06f
sumata	humanoid01c
sutala	humanoid01c
