key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_!!!laf_dwarfs
hu3_dwf_1h_axe_pistol	humanoid03
hu3_dwf_crank_gunner	humanoid03
hu3_dwf_dual_drakefire_pistol	humanoid03
hu3_dwf_oath_stone_belegar_axe_and_shield	humanoid03
hu3_dwf_ranger_crossbow	humanoid03
hu3_dwf_ranger_great_wep	humanoid03
hu3_dwf_shield_bearer_1h_axe_crossbow	humanoid03
hu3_dwf_shield_bearer_1h_axe_pistol	humanoid03
hu3_dwf_shield_bearer_2h_axe	humanoid03
hu3_dwf_shield_bearer_axe_and_shield	humanoid03
laf_hu3_dwarf_2h_steam_drills	humanoid03
laf_hu3_dwarf_excavators_2h_pickaxe	humanoid03
laf_hu3_dwarf_grombold_hero	humanoid03
laf_hu3_dwarf_miners_2h_pickaxe	humanoid03
laf_hu3_dwarf_miners_2h_pickaxe_blasting_charges	humanoid03
laf_hu3_dwarf_miners_ekrund	humanoid03
laf_hu3_dwarf_miners_sappers	humanoid03
laf_hu3_dwarf_prospector_hero	humanoid03
laf_hu3_dwarf_rider_grombold_hero	humanoid03
laf_hu3_dwarf_rider_prospector_hero	humanoid03
laf_hu3_dwarf_unrad_hero	humanoid03
laf_wm_steamtank23_earth_borer	steamtank23
wm_dwf_juggernaut_bolt_thrower	wagon01
wm_dwf_juggernaut_cannon	wagon01
wm_dwf_juggernaut_crank_gun	wagon01
