key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_ovn_dread_king
gh1_hellwra	ghost01
hu12_skeleton_minotaur_2handed_axe	humanoid12
hu1_black_grail_knights_hr1_warhorse_lance_sword_shield	humanoid01
hu1_catror_halberd	humanoid01
hu1_dkl_priest_hr1_warhorse_mace_and_satchel	humanoid01
hu1_dkl_priest_mace_and_satchel	humanoid01
hu1_dread_skeleton_2hpike	humanoid01
hu1_dreadk_hr1_pegasus_staff_and_sword	humanoid01
hu1_dreadk_hr1_warhorse_staff_and_sword	humanoid01
hu1_dreadking_tomb_javelin_spear_shield	humanoid01
hu1_handofnagash_staff_and_sword	humanoid01
hu1_hr1_dread_hetairoi_2hsword_pegasus	humanoid01
hu1_hr1_dread_rider_2hlance	humanoid01
hu1_skeleton_javelin_shield_spear	humanoid01
hu1_vampire_dreadk_dr1_zombie_dragon_wb_sword_and_shield	humanoid01
hu1_wight_2handed_axe	humanoid01
hu1g_dread_possessed_hero	humanoid01g
hu4_colossus	humanoid04
vigpro_vmp_skeleton_hydra	dragon02
