key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_The_Gunpowder_Road2.
cth_juma	corpsecart01
cth_murenhuoma	humanoid01e
hu1e_cth_dilei	humanoid01e
hu1e_cth_inf_dulongpenhuoshentong	humanoid01e
hu1e_cth_niaochong	humanoid01e
hu1e_feimengpao_sword	humanoid01e
hu1e_huochong	humanoid01e
hu1e_huonuliuxingjian	humanoid01e
hu1e_lihuaqiang	humanoid01e
hu1e_qijiajun_niaochong	humanoid01e
hu1e_rocket_small	humanoid01e
hu1e_sanjieshenji	humanoid01e
hu1e_sanyanchong	humanoid01e
hu1e_sword_pianxiangche	humanoid01e
hu1e_xunleichong	humanoid01e
