key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_bodyguards_allinone_en
chd_zhatan_war_machine1	locomotive01
dwf_bodyguard_crankgun_and_2handed_hammer	humanoid03
dwf_bodyguard_golem_glow	giant01
dwf_bodyguard_golem_staff	giant01
hu1_dlc25_empire_sword_repeater_rifle	humanoid01
ogr_bodyguard_mournfang_2handed_sword	humanoid13
ogr_bodyguard_mournfang_sword	humanoid13
ogr_bodyguard_mournfang_sword_and_ironfist	humanoid13
skv_warlock_master_main	humanoid17
