key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_trojan_archer
glf_gi1_colossus_bow_sl	giant01
hu10e	humanoid10e
hu1c_chaos_sword_and_shield1	humanoid01c
hu1c_wh3_kislev_tsar_guard_2handed_sword1	humanoid01c
hu1c_wh3_kislev_tsar_guard_sword_and_shield1	humanoid01c
hu6c_orion_2handed_spear2	humanoid06c
slachamp	humanoid12
sladual	humanoid06c
slashield	humanoid06c
trod	humanoid12
tros	humanoid01c
troy	humanoid01
troym	humanoid01c
troym2	humanoid01c
