key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_ab_mixu_mousillon
mixu_gh1_grey_men	ghost01
mixu_hc8_msl_dracoleech	hybridcreature08
mixu_hu1_bastards_of_chalons	humanoid01
mixu_hu1_black_grail_knights	humanoid01
mixu_hu1_bougar_knights	humanoid01
mixu_hu1_squire_glaive_and_bow	humanoid01
mixu_hu1_wight_halberd	humanoid01
mixu_hu1_wight_halberd_hr1_hellsteed	humanoid01
mixu_hu1_wight_halberd_hr1_skeletal_steed	humanoid01
mixu_hu1b_damsel_staff_and_sword	humanoid01b
mixu_hu1b_dark_prophetess_coach	humanoid01b
mixu_hu1b_lady_of_the_grail	humanoid01b
mixu_hu1b_lady_of_the_grail_coach	humanoid01b
mixu_hu1d_brigand_crossbow_hr1_warhorse	humanoid01d
mixu_hu4d_grey_men	humanoid04d
mixu_msl_snail	hybridcreature08
