key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_str_skaven_clans
20kr_in1_wh3_rot_fly	insect01
crooktail_lord_kou	humanoid07c
gp_rider_hu17_skaven_sword_and_globe	humanoid17
gp_sc1_scorpion01_no_sparkle	scorpion01
gp_warbeast_hu17_dlc16_rt1_halberd	humanoid17
gp_warbeast_hu17_dlc16_rt1_sword_shield	humanoid17
hu17_skaven_greataxe_01	humanoid17
kou_spider_skaven_rider	humanoid17
kou_squig_skaven_rider	humanoid17
rt1_giant_rat	rat01
shaman_squig_anim	humanoid05
sitch_fragment1	humanoid17
thm_ferrik_hu17_2h	humanoid17
thm_ferrik_hu17_rifles	humanoid17
varg_nurglitch_fragment1	humanoid17
