key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_ovn_grudgebringers
alor	humanoid01
helmgart_bowmen	humanoid01
hu1_black_grail_knights_hr1_warhorse_lance_sword_shield	humanoid01
hu1_empire_alt_sword_and_pistol	humanoid01
hu1_empire_hr1_warhorse_sword_and_pistol	humanoid01
hu1c_ragnar_wolves_hr1	humanoid01c
hu3_dwf_shield_bearer_axe_and_shield	humanoid03
ice_mage	humanoid01
luther_flamenstrike	humanoid01
luther_flamenstrike_mount	humanoid01
matthias	humanoid01
morgan_bernhardt	humanoid01
morgan_bernhardt_mount	humanoid01
outlaw_infantry	humanoid01
