key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_!TW_Millennium_Public
dp_razor_wire	platform01
dp_tank_obstacles	platform01
hu1_emp_artillery_crew_rider	humanoid01
hu1_emp_vehicle_crew_standing	humanoid01
hu1_empire_anti_tank_rifle	humanoid01
hu1_empire_carbine_and_bayonet_assault	humanoid01
hu1_empire_field_artillery_crew	humanoid01
hu1_empire_flame_thrower	humanoid01
hu1_empire_hand_grenade_dual_weapon	humanoid01
hu1_empire_hr1_warhorse_lance_and_carbine	humanoid01
hu1_empire_hr1_warhorse_sword_and_pistols	humanoid01
hu1_empire_hr1_warhorse_sword_no_shield	humanoid01
hu1_empire_hr2_mechanical_steed_sword_no_shield	humanoid01
hu1_empire_light_machine_gun	humanoid01
hu1_empire_light_machine_gun_crew	humanoid01
hu1_empire_pistol_and_blade	humanoid01
hu1_empire_repeater_shotgun	humanoid01
hu1_empire_rifle_bayonet	humanoid01
hu1_empire_rifle_mace	humanoid01
hu1_empire_shotgun_and_shield	humanoid01
hu1_empire_sniper_rifle	humanoid01
hu1_empire_submachine_gun	humanoid01
wm_13mm_machine_gun	helstorm01
