key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_ovn_albion
alb_maidenguard_sword1h	humanoid01b
calm_ksl_raven	calm_raven
ce1_centaur_sword_and_bow	centaur01
hu1b_huntress_sword_and_bow	humanoid01b
hu1c_alb_chosen_ishernos	humanoid01c
hu1c_alb_flaming_sword_and_shield	humanoid01c
hu1c_alb_sword_and_sling	humanoid01c
hu1c_chaos_axe_and_shield_shieldwall	humanoid01c
hu1e_alb_morrigan_crow_mount	humanoid01e
hu1e_alb_morrigan_magic	humanoid01e
hu4_giant_stonethrower	humanoid04
