key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_ab_unwashed_masses
mixu_gnob_throne01	gnob_throne01
mixu_hu13_bragg_gutgouger	humanoid13
mixu_hu3_head_honcho_pigback	humanoid03
mixu_hu3_head_honcho_throne	humanoid03
mixu_hu3_woodbelly_pigback	humanoid03
mixu_hu5_bloodnose_bc4_sabretusk	humanoid05
mixu_hu5_bloodnose_throwing_knives	humanoid05
mixu_hu5_bunsen_rider	humanoid05
mixu_hu5_fire_mouth	humanoid05
mixu_hu5_flingers_sword_sling	humanoid05
mixu_hu5_gnoblar_flail	humanoid05
mixu_hu5_gnoblar_hq2_throwing_knives	humanoid05
mixu_hu5_gnoblar_sword_and_pistol	humanoid05
mixu_hu5_mist_gnoblars	humanoid05
mixu_hu5_pigback_rider	humanoid05
mixu_hu5_pigback_rider_javelin	humanoid05
mixu_hu5_powder_sniffers	humanoid05
rustbucket_crossbows	humanoid03
rustbucket_greatweapon_crossbows	humanoid03
