key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_!!!cou_blood_knight_heretics_live_build
hc7_the_shoreless_hunger	hybridcreature07
hu16c_elodrine_spear_shield	humanoid16c
hu1c_blood_dragon_heretic	humanoid01c
hu1c_blood_dragon_heretic_bi2_rider	humanoid01c
hu1c_blood_dragon_heretic_hr1_rider	humanoid01c
hu1c_cou_slannesh_sword_shield_snek_rider	humanoid01c
hu1c_fathom_knight_fish_rider	humanoid01c
hu1c_fathom_knight_toad_dragon_rider	humanoid01c
hu1c_fathomite_scythe_and_claw	humanoid01c
hu1c_khorne_vamp_blood_throne_rider_dual_axe	humanoid01c
hu1c_khorne_vamp_dual_axe	humanoid01c
hu1c_slaanesh_seneschal_sword_and_shield	humanoid01c
hu1d_tneetch_templars_sword_and_spear	humanoid01d
hu1d_tneetch_templars_sword_and_spear_manticore_riders	humanoid01d
hu1d_tzeentch_templar_hr1_warhorse_spear_sword	humanoid01d
hu6g_slaaneshi_seraph	humanoid06g
