key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_!!scm_motm
blautfang_warbeasts_stand	boar01
boomfire	boar01
fleshrender_hunters_stand	humanoid13
hrothgul_gorgers_stand	humanoid08d
hrothgul_thundertusk_shrine_stand	heavyquadruped03b
hrothgul_yhetees_great_weapon_stand	humanoid13
hrothgul_yhetees_ironfists_stand	humanoid13
hu13_ogr_motm_fernadrang	humanoid13
hu13_wh3_braugh	humanoid13
hu13_wh3_ogre_brudd	humanoid13
hu13_wh3_ogre_hq2_mournfang_2handed_hammer_lucky	humanoid13
hu13_wh3_ogre_lucky_hammer_pistol	humanoid13
hu5_nosso_the_nose	humanoid05
ogr_flame_spirits	snake02b
ogr_flame_thrower	humanoid13
ogr_hrothgul_stand	humanoid13
ogr_jhared_stand	humanoid08d
um_bul_mallet_stand	humanoid13b
um_gnoblar_grillers_ror_stand	humanoid05
um_kho_ogre_0_stand	humanoid13
um_kho_ogre_1_stand	humanoid13
um_kho_ogre_2_stand	humanoid13
um_ogr_blackpowder	scraplauncher01
um_ogr_blaut_stand	humanoid13b
um_ogr_blu	humanoid04
um_ogr_dirty_shanks	humanoid08d
um_ogr_diver_02	humanoid13
um_ogr_flameeater_hammer	humanoid13
um_ogr_flameeater_pistol	humanoid13
um_ogr_flamegut	humanoid13
um_ogr_flamewarrior_stand	humanoid13
um_ogr_fulg_ironguts_stand	humanoid13
um_ogr_fulg_mount_stand	humanoid13
um_ogr_fulg_stand	humanoid13
um_ogr_ghuth_stand	humanoid18c
um_ogr_gragtar	humanoid13
um_ogr_halfling_stand	humanoid03
um_ogr_halifling_mount_table_stand	throne01
um_ogr_manbiters	humanoid13
um_ogr_morg_ironguts_ror_stand	humanoid13
um_ogr_morg_stand	humanoid13
um_ogr_old_funder	humanoid13
um_ogr_rothnogg	humanoid13
um_ogr_sea_rider	humanoid13
