key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_!!!!calm_kislev_erengrad
calm_gunaxe	humanoid01c
calm_hu1_bayonet	humanoid01
calm_hu1_molotovs	humanoid01
calm_hu1e_2h_axe_bombs	humanoid01e
calm_hu1e_pike	humanoid01e
calm_kislev_voyin	humanoid01e
calm_kovnik_sniper_rifle	humanoid01
calm_mounted_kirasir	humanoid01
calm_streltsi_bardiche_and_rifle	humanoid01c
calm_ulrika_pistol_sword	humanoid01
calm_voivoda_pistol	humanoid01c
calm_voivoda_warhorse	humanoid01c
