key	ui_sound_event	icon_name
#projectile_shot_type_displays_tables;1;db/projectile_shot_type_displays_tables/!!!!!!!double_projectile_velocity_compat_!!snek_dawi_thunder
snek_dwf_bombard	UI_BAT_SABL_Generic_Enable	snek_emp_bombard_fire
snek_dwf_breaker_cannon	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_cannonball
snek_dwf_thunder_cannon	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_cannonball
snek_dwf_thunder_cannon_02	UI_BAT_SABL_Generic_Enable	snek_emp_bombard_fire
wh_dwf_breaker_cannon_ball_canister	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_cannister
wh_dwf_breaker_cannon_chainshot	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_chain
wh_dwf_cannon_ball_canister	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_cannister
wh_dwf_cannon_chainshot	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_chain
wh_dwf_cannon_chainshot_shrapnel	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_chain
wh_dwf_mortar_canister_shrapnel	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_cannister
wh_main_dwf_bombard_canister	UI_BAT_SABL_Generic_Enable	snek_dwf_projectile_cannister
