key	ui_sound_event	icon_name
#projectile_shot_type_displays_tables;1;db/projectile_shot_type_displays_tables/!!!!!!!double_projectile_velocity_compat_ghs_great_harmony
artillery_canister	UI_BAT_SABL_Generic_Enable	artillery_canister
artillery_default	UI_BAT_SABL_Generic_Enable	artillery_default
artillery_explosive	UI_BAT_SABL_Generic_Enable	artillery_explosive
artillery_flammable	UI_BAT_SABL_Generic_Enable	artillery_flammable
artillery_poison	UI_BAT_SABL_Generic_Enable	artillery_poison
artillery_whistling	UI_BAT_SABL_Generic_Enable	artillery_whistling
bolt_thrower_multi_shot	UI_BAT_SABL_Generic_Enable	artillery_canister
bolt_thrower_single_shot	UI_BAT_SABL_Generic_Enable	artillery_default
deathshrieker_cluster	UI_BAT_SABL_Generic_Enable	wh3_dlc23_chd_deathshrieker_rocket
deathshrieker_demolition	UI_BAT_SABL_Generic_Enable	wh3_dlc23_chd_demolition_rocket
explosives	UI_BAT_SABL_Generic_Enable	explosives
oil	UI_BAT_SABL_Generic_Enable	oil
placeholder	UI_BAT_SABL_Generic_Enable	0_placeholder_active_abilitiy&spell
small_arm_default	UI_BAT_SABL_Generic_Enable	small_arm_default
small_arm_extended	UI_BAT_SABL_Generic_Enable	small_arm_extended
small_arm_fire	UI_BAT_SABL_Generic_Enable	wh_dlc05_hero_abilities_arrow_of_kurnous
small_arm_flaming	UI_BAT_SABL_Generic_Enable	small_arm_flaming
small_arm_heavy	UI_BAT_SABL_Generic_Enable	small_arm_heavy
small_arm_poison	UI_BAT_SABL_Generic_Enable	small_arm_poison
small_arm_whistling	UI_BAT_SABL_Generic_Enable	small_arm_whistling
small_arm_yang	UI_BAT_SABL_Generic_Enable	small_arm_heavy
small_arm_yin	UI_BAT_SABL_Generic_Enable	small_arm_yin
talon_of_dawn	UI_BAT_SABL_Generic_Enable	small_arm_heavy
talon_of_dusk	UI_BAT_SABL_Generic_Enable	small_arm_poison
torch	UI_BAT_SABL_Generic_Enable	torch
