key	ui_sound_event	icon_name
#projectile_shot_type_displays_tables;1;db/projectile_shot_type_displays_tables/!!!!!!!double_projectile_velocity_compat_bodyguards_allinone_en
chd_sorcerer_prophet_bodyguard2_1	UI_BAT_SABL_Generic_Enable	chd_sorcerer_prophet_bodyguard2_1
chd_sorcerer_prophet_bodyguard2_2	UI_BAT_SABL_Generic_Enable	chd_sorcerer_prophet_bodyguard2_2
cth_bodyguard_dragon_hand_cannon_0	UI_BAT_SABL_Generic_Enable	cth_bodyguard_dragon_hand_cannon_0
cth_bodyguard_dragon_hand_cannon_1	UI_BAT_SABL_Generic_Enable	cth_bodyguard_dragon_hand_cannon_1
cth_bodyguard_sky_junk_0	UI_BAT_SABL_Generic_Enable	cth_bodyguard_sky_junk_0
cth_bodyguard_sky_junk_1	UI_BAT_SABL_Generic_Enable	cth_bodyguard_sky_junk_1
cth_bodyguard_sky_junk_2	UI_BAT_SABL_Generic_Enable	cth_bodyguard_sky_junk_2
cth_alchemist_bodyguard_hand_cannon_0	UI_BAT_SABL_Generic_Enable	cth_alchemist_bodyguard_hand_cannon_0
cth_alchemist_bodyguard_hand_cannon_1	UI_BAT_SABL_Generic_Enable	cth_alchemist_bodyguard_hand_cannon_1
dwf_thane_bodyguard4_1	UI_BAT_SABL_Generic_Enable	cannon_default
dwf_thane_bodyguard4_2	UI_BAT_SABL_Generic_Enable	wh3_dlc23_spell_hashut_burning_wrath
emp_bodyguard_rifle_repeater_bullet_ironsides	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_rifle_repeater_bullet_ironsides_exploding	UI_BAT_SABL_Generic_Enable	wh3_dlc23_spell_hashut_burning_wrath
emp_bodyguard_rifle_bullet_ironsides	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_rifle_bullet_ironsides_exploding	UI_BAT_SABL_Generic_Enable	wh3_dlc23_spell_hashut_burning_wrath
emp_bodyguard_rifle_outrider_repeater_bullet	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_rifle_outrider_repeater_bullet_exploding	UI_BAT_SABL_Generic_Enable	wh3_dlc23_spell_hashut_burning_wrath
emp_bodyguard_grenade_engineer_retinue	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_grenade_engineer_retinue_exploding	UI_BAT_SABL_Generic_Enable	wh3_dlc23_spell_hashut_burning_wrath
emp_bodyguard_repeater_bullet_engineer	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_repeater_bullet_engineer_exploding	UI_BAT_SABL_Generic_Enable	wh3_dlc23_spell_hashut_burning_wrath
wef_bodyguard_bodkin	UI_BAT_SABL_Generic_Enable	wef_bodyguard_bodkin
wef_bodyguard_hagbane	UI_BAT_SABL_Generic_Enable	wef_bodyguard_hagbane
wef_bodyguard_starfire	UI_BAT_SABL_Generic_Enable	wef_bodyguard_starfire
wef_bodyguard_moonfire	UI_BAT_SABL_Generic_Enable	wef_bodyguard_moonfire
wef_bodyguard_swiftshiver	UI_BAT_SABL_Generic_Enable	wef_bodyguard_swiftshiver
wef_bodyguard_trueflight	UI_BAT_SABL_Generic_Enable	wef_bodyguard_trueflight
wef_bodyguard_bodkin_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_bodkin
wef_bodyguard_hagbane_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_hagbane
wef_bodyguard_starfire_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_starfire
wef_bodyguard_moonfire_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_moonfire
wef_bodyguard_swiftshiver_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_swiftshiver
wef_bodyguard_trueflight_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_trueflight
wef_bodyguard_javelin_heavy	UI_BAT_SABL_Generic_Enable	wef_bodyguard_bodkin
wef_bodyguard_javelin_arcane	UI_BAT_SABL_Generic_Enable	wef_bodyguard_moonfire
wef_bodyguard_javelin_fireblood	UI_BAT_SABL_Generic_Enable	wef_bodyguard_starfire
wef_bodyguard_javelin_blackbriar	UI_BAT_SABL_Generic_Enable	wef_bodyguard_hagbane
wef_bodyguard_javelin_dread	UI_BAT_SABL_Generic_Enable	wef_bodyguard_trueflight
