key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo
#land_units_tables;53;db/land_units_tables/!!!cth_yinyin_pol
lzd_tyranosaur_boss	0	wh2_main_body_95	2100	inf_melee	80	inf_mel	lzd_carnosaurus_rex	rp3b_carnosaur	wh2_main_lzd_mon_carnosaur	54	38	70	11900		0	tyrannosaur_jaws		1	none	lzd_carnosaurus_rex	wh_main_monster	trained			true	40.0000	1500.0000	wh2_main_lzd_mon_carnosaur_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
cth_wokou	10	wh2_main_leather_30	2100	inf_ranged	26	inf_mis	cth_wokou	hu1_wokou_gun	cth_wokou	29	26	54	62		0	wokou_sword	wh_dlc04_emp_free_company_pistol	6	none	cth_wokou	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	cth_wokou_att	60	80	10	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	16	0	0	0	0	0	0	hybrid_flanker_shock_harasser	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
lzd_giganotosaur_boss	0	wh2_main_body_100	2100	inf_melee	70	inf_mel	lzd_brontouratitan	rp3b_giganotosaur	wh2_main_lzd_mon_carnosaur	57	41	80	15700		0	giganotosaur_jaws		1	none	lzd_brontouratitan	wh_main_monster	trained			true	40.0000	1500.0000	wh2_main_lzd_mon_carnosaur_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
npn_ansatsu	10	wh2_main_chainmail_50	2100	inf_ranged	20	inf_mis	npn_ansatsu	hu17_ansatsu	cth_ansatsu	42	28	62	84		0	ninjato_0	ansatsu_bombs	5	none	npn_ansatsu	wh2_main_inf_chaotic_formation	trained			true	40.0000	1500.0000	npn_ansatsu_att	60	80	0	vo_sel_skv_Nightrunners	vo_sel_generic	vo_sel_culture	0.9000	small	0	9	0	0	0	20	0	0	ranged_stalkers_flanker_harasser	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
cth_marines	10	wh2_main_plate_50	2100	inf_ranged	20	inf_mis	cth_marines	hu1e_blunderbuss_sword	cth_marines	25	30	68	61		0	marine_axe	marine_carbine	4	none	cth_marines	wh3_main_cth_infantry	well_trained			true	40.0000	1500.0000	cth_marines_att	60	80	10	vo_sel_cth_iron_hail_gunners	vo_sel_ranged	vo_sel_culture	1.0000	aquatic_small	0	18	0	0	0	0	0	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
cth_ronin	10	wh2_main_plate_60	2100	inf_melee	40	inf_mel	cth_ronin	hu1d_cth_samurai	cth_sam	31	24	64	67		0	sam_kat		5	none	cth_ronin	wh3_main_kislev_infantry_2handed	well_trained			true	40.0000	1500.0000	cth_sam_att	60	80	10	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
cth_whalers	10	wh2_main_body_50	2100	inf_ranged	24	inf_mis	cth_whalers	hu13_wh3_ogre_leadbelcher	cth_whalers	30	28	64	400		0	wh3_main_ogr_leadbelcher_cannon	whaler_gun	2	none	cth_whalers	wh_main_monstrous_trolls	well_trained			true	40.0000	1500.0000	wh3_main_ogr_inf_leadbelchers_0	60	80	10	whaler_gun	vo_sel_ranged	vo_sel_culture	1.0000	aquatic_small	0	20	0	0	0	0	0	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
cth_wokou_cannon	10	wh2_main_leather_20	2100	artillery	5	art_fld	cth_wokou_enemy	hu1_empire_helstorm_crew	wh2_dlc16_infantry_standard_crew_blood_dismembers	10	6	50	48		0	wokou_sword		5	none	cth_wokou_enemy	wh_main_artillery_small	trained		cth_wokou_cannon	true	40.0000	1500.0000	wh_main_emp_art_great_cannon	60	80	0	vo_sel_great_cannon	vo_sel_artillery	vo_sel_culture	1.0000	aquatic_small	0	22	0	0	4	0	0	0	ranged_direct_arty	false	false	false	false	medium	medium	domination_artillery		emp_great_cannon		1.0000	1.0000	false
npn_bakegani	0	wh2_main_bone_150	2100	inf_melee	17	inf_mel	npn_kaiju	cr1_bakegani	npn_kaiju	57	20	70	15700		0	kaiju_claws		1	wh_missile_block_30_metal	npn_kaiju	wh_main_monster	trained			true	40.0000	1500.0000	npn_kaiju2_att	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	-50	0	0	40	40	0	melee	false	false	false	false	medium	medium	domination_monsters				1.0000	1.0000	false
cth_sam	10	wh2_main_plate_90	2100	inf_melee	32	inf_mel	cth_sam	hu1d_cth_samurai	cth_sam	37	34	70	74		0	sam_kat		5	wh_missile_block_20_metal	cth_sam	wh3_main_kislev_infantry_2handed	well_trained			true	40.0000	1500.0000	cth_sam_att	60	80	10	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_flanker_shock	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
cth_wokou_guns	10	wh2_main_leather_30	2100	inf_ranged	7	inf_mis	cth_wokou_enemy	hu1_empire_sword_rifle	cth_wokou	24	20	54	59		0	wokou_sword	wh_main_emp_rifle	4	none	cth_wokou_enemy	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	cth_wokou_att3	60	80	0	vo_sel_cth_iron_hail_gunners	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	18	0	0	0	0	0	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
lzd_styracosaur	0	wh2_main_body_110	2100	inf_melee	60	inf_mel	wh2_main_unit_long_text_lzd_mon_stegadon_0	hq1_feral_stegadon	wh2_main_lzd_mon_stegadon	41	29	52	8760		0	styracosaur_horns		1	none	wh2_main_unit_short_text_lzd_mon_stegadon_0	wh_main_monster	trained			true	40.0000	1500.0000	wh2_main_lzd_mon_stegadon_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
cth_wokou_spears	10	wh2_main_leather_15	2100	inf_melee	30	inf_mel	cth_wokou_enemy	hu1_wokou_yari	cth_wokou	24	27	54	54		0	wokou_yari		8	none	cth_wokou_enemy	wh3_main_cth_infantry_long_spears	trained			true	40.0000	1500.0000	cth_wokou_att3	60	80	0	vo_sel_cth_peasant_spearmen	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry_expendable				1.0000	1.0000	false
npn_kaiju	0	wh2_main_body_120	2100	inf_melee	24	inf_mel	npn_kaiju	rp4_kaiju	npn_kaiju_3	74	12	85	22400		0	kaiju_jaws		1	none	npn_kaiju	wh_main_monster	trained			true	40.0000	1500.0000	npn_kaiju_att	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	-50	0	0	40	40	0	melee	false	false	false	false	medium	medium	domination_monsters				1.0000	1.0000	false
lzd_raptor_0	10	wh2_main_body_50	2100	inf_melee	33	inf_mel	wh2_main_unit_long_text_lzd_cav_cold_ones_feral_0	rp3_cold_one	wh2_main_lzd_cavalry_feral_cold_one_blood	30	24	55	279		0	wh2_main_lzd_kroxigor		4	none	wh2_main_unit_short_text_lzd_cav_cold_ones_feral_0	wh2_main_cavalry_cold_ones	trained			true	40.0000	1500.0000	wh2_main_lzd_cav_cold_ones_feral_0	160	160	0	vo_sel_lzd_cold_one_riders	vo_sel_generic	vo_sel_generic	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav				1.0000	1.0000	false
cth_wokou_ds	10	wh2_main_leather_30	2100	inf_melee	26	inf_mel	cth_wokou_enemy	hu1_sartosa_free_company	cth_wokou	32	24	54	65		0	wokou_sword_2		6	none	cth_wokou_enemy	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	cth_wokou_att2	60	80	10	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
lzd_spinosaur_boss	0	wh2_main_body_80	2100	inf_melee	55	inf_mel	lzd_suchodontosaurus	rp3b_dlc17_troglodon	wh2_dlc17_lzd_mon_troglodon	49	46	75	13100		0	spinosaur_claws		1	none	lzd_suchodontosaurus	wh_main_monster	trained			true	40.0000	1500.0000	wh2_main_lzd_mon_carnosaur_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
cth_yicha_fghter	10	wh2_main_plate_60	2100	inf_ranged	16	inf_mis	cth_yicha_fghter	hu1e_yicha_fighter	cth_wokou	28	41	62	70		0	yicha_guandao	yicha_bow	4	none	cth_yicha_fghter	wh3_main_cth_infantry	trained			true	40.0000	1500.0000	cth_yicha_att	60	80	0	vo_sel_cth_jade_warriors	vo_sel_missile	vo_sel_culture	1.0000	small	0	20	0	0	0	0	0	0	ranged_stalkers	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
lzd_pachy_0	10	wh2_main_body_80	2100	inf_melee	56	inf_mel	lzd_pachytholus	rp3_cold_one	wh2_main_lzd_cavalry_cold_one_blood_blessed	44	19	52	312		0	pachy_club		3	wh_missile_block_20_inaudible	lzd_pachytholus	wh2_main_cavalry_cold_ones	trained			true	40.0000	1500.0000	wh2_main_lzd_mon_bastiladon_0	160	160	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav				1.0000	1.0000	false
