unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!!zfcr_unique_steam_tanks
dead_ksl_steamtank	dead_ksl_steamtank	1	wh_main_shp_transport	1	1	1	false	heavy	2200	550	1	1	2100	0	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	emp_steam_tank		3	true	emp_steam_tank		true	true		660.0000	1540.0000	true	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	2	false	false	
zfcr_emp_veh_steam_tank_alter_kamerad	zfcr_emp_veh_steam_tank_alter_kamerad	1	wh_main_shp_transport	1	1	1	false	heavy	2250	700	3	1	2250	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		5	true	emp_steam_tank		true	true		660.0000	1650.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_emp_veh_steam_tank_deliverance	zfcr_emp_veh_steam_tank_deliverance	1	wh_main_shp_transport	1	1	1	false	heavy	2500	725	3	1	2500	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		5	true	emp_steam_tank		true	true		660.0000	1650.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_emp_veh_steam_tank_emperors_wrath	zfcr_emp_veh_steam_tank_emperors_wrath	3	wh_main_shp_transport	1	1	1	false	heavy	2400	550	2	1	2400	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		5	true	emp_steam_tank		true	true		660.0000	1540.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_emp_veh_steam_tank_implacable	zfcr_emp_veh_steam_tank_implacable	5	wh_main_shp_transport	1	1	5	false	heavy	2000	650	2	1	2000	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		5	true	emp_steam_tank		true	true		660.0000	1650.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_emp_veh_steam_tank_invincible	zfcr_emp_veh_steam_tank_invincible	1	wh_main_shp_transport	1	1	1	false	heavy	1900	600	2	1	1900	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		4	true	emp_steam_tank		true	true		660.0000	1650.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_emp_veh_steam_tank_kathleen	zfcr_emp_veh_steam_tank_kathleen	1	wh_main_shp_transport	1	1	1	false	medium	1500	300	2	1	1500	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		4	true	emp_steam_tank		true	true		660.0000	1540.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_emp_veh_steam_tank_patriarchs_storm	zfcr_emp_veh_steam_tank_patriarchs_storm	1	wh_main_shp_transport	1	1	1	false	heavy	2100	500	2	1	2100	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		5	true	emp_steam_tank		true	true		660.0000	1540.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_emp_veh_steam_tank_sigmars_hammer	zfcr_emp_veh_steam_tank_sigmars_hammer	1	wh_main_shp_transport	1	1	1	false	heavy	2350	675	3	1	2350	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		5	true	emp_steam_tank		true	true		660.0000	1650.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_emp_veh_steam_tank_von_zeppels	zfcr_emp_veh_steam_tank_von_zeppels	9	wh_main_shp_transport	1	1	9	false	heavy	1900	450	2	1	1900	1	chariot	0					false	false	0	0	true		wh_main_vo_culture_Empire	emp_steam_tank		4	true	emp_steam_tank		true	true		660.0000	1540.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
zfcr_skv_veh_steam_tank_rat_tank	zfcr_skv_veh_steam_tank_rat_tank	1	wh_main_shp_transport	1	1	1	false	heavy	2200	550	3	1	2200	1	chariot	0					false	false	0	0	true		wh2_main_vo_culture_Skaven	emp_steam_tank		5	true	emp_steam_tank		true	true		660.0000	1540.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false	
