key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!@whc_cth_unit_wuh_
cth_central_jade_lion_rider	humanoid01l
cth_central_tianting_crow_guard	humanoid06g
cth_central_tianting_ogr_swordsmaster	humanoid13
cth_east_jiaolong_rider	humanoid01e
cth_east_mingqing_jade_crossbow_bee	humanoid01e
cth_east_mingqing_jade_hudun_cannon	humanoid01e
cth_east_mingqing_jade_tuhuo_halberd	humanoid01e
cth_east_mingqing_longwei_pro_huolong_rocket	humanoid01e
cth_east_mingqing_peasant_bow	humanoid01e
cth_east_mingqing_peasant_cav	humanoid01e
cth_mingqing_gunner_lianhuanchong	humanoid01e
cth_mingqing_jade_sanyan	humanoid01e
cth_mingqing_minzu_javelin	humanoid01c
cth_north_bian_rider	humanoid01e
cth_north_suitang_jade_cav_lance	humanoid01e
cth_north_suitang_jade_crossbow	humanoid01e
cth_north_suitang_jade_shield_bow	humanoid01e
cth_north_suitang_longwei_bow	humanoid01e
cth_north_suitang_peasant_bow	humanoid01e
cth_north_suitang_peasant_crossbow	humanoid01e
cth_songyuan_huoqilin_rider	humanoid01e
cth_south_ox_rider	humanoid01e
cth_south_songyuan_jade_bow	humanoid01d
cth_south_songyuan_jade_cav_sword	humanoid01d
cth_south_songyuan_jade_dual_swords	humanoid01d
cth_south_songyuan_jade_greataxe	humanoid01d
cth_south_songyuan_jade_handbow	humanoid01d
cth_south_songyuan_longwei_pro_crossbow	humanoid01c
cth_south_songyuan_peasant_bow	humanoid01e
cth_south_songyuan_peasant_hunter	humanoid01e
cth_south_tiger_rider	humanoid01c
cth_suitang_leiqilin_rider	humanoid01e
cth_weijin_longwei_pi	humanoid01e
cth_weijin_longwei_pro_vajra	humanoid01c
cth_weijin_moqilin_rider	humanoid01e
cth_west_pagoda_rider	humanoid01c
cth_west_qinghan_jade_cav_lance	humanoid01e
cth_west_qinhan_jade_choku_crossbow	humanoid01e
cth_west_qinhan_jade_crossbow	humanoid01e
cth_west_qinhan_jade_greatswords	humanoid01d
cth_west_qinhan_peasant_cav_crossbow	humanoid01e
cth_west_qinhan_peasant_choku_crossbow	humanoid01e
hu1e_beiweijun	humanoid01e
hu1e_changcongsuwei	humanoid01e
sanyanchongqibing_qiang	humanoid01
whc_baraya_qishe	humanoid01
