key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!ovn_fimir
hu7d_ovn_fimir_shearl	humanoid07d
hu8_swamp_daemon	humanoid08
hu7d_ovn_fimir_2handed_staff_ranged	humanoid07d
hu7d_ovn_fimir_axe_and_javelin	humanoid07d
hu1_hr1_nuckelavee_rider	humanoid01
hu7d_mistmor_2h_axe	humanoid07d
hc5_fim_bog_octopus	hybridcreature05
hu7d_ovn_fimir_dual_axes	humanoid07d
hu7d_ovn_fimir_2handed_axe	humanoid07d
hu7d_ovn_fimir_axe_and_shield	humanoid07d
hu7d_daemonomaniac	humanoid07d
wf1_giant_wolf_daemonic	wolf01
