key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!!!laf_dwarfs
laf_dwf_copter_drakefire_gun	false	laf_copter_drakefire_shot	brinstone_gun	false
laf_dwf_crank_gun	false	laf_crank_gun_bullet	repeater_rifle	false
laf_dwf_dual_drakefire_pistol	false	laf_drakefire_pistol_bullet	drakegun	false
laf_dwf_grombold_charges	false	laf_dwf_rider_sapper_charges		false
laf_dwf_lord_crossbow	false	laf_dwf_lord_crossbow_bolt	crossbow	false
laf_dwf_lord_pistol	false	laf_dwf_lord_pistol_bullet	pistol	false
laf_dwf_rider_bolt_thrower	false	laf_dwf_mounted_bolt_thrower_bolt	bolt_large	false
laf_dwf_rider_cannon	false	laf_dwf_mounted_cannon_ball	cannon	false
laf_dwf_rider_mounted_crank_gun	false	laf_dwf_mounted_crank_gun_bullet	repeater_rifle	false
laf_dwf_sapper_charges	false	laf_dwf_sapper_charges		false
laf_dwf_thane_crossbow	false	laf_dwf_thane_crossbow_bolt	crossbow	false
laf_dwf_thane_pistol	false	laf_dwf_thane_pistol_bullet	pistol	false
laf_mod_dwf_crossbow_rangers	false	laf_crossbow_bolt_rangers	crossbow	false
