key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!!!!calm_kislev_erengrad
calm_erengrad_cannon	false	calm_erengrad_cannon	great_cannon	false
calm_erengrad_mortar	false	calm_erengrad_mortar	mortar	false
calm_kovnik_sniper_rifle	false	calm_kovnik_sniper_rifle	repeater_rifle	false
calm_kvass_molotov	false	calm_kvass_molotov		false
calm_sarmatyr_pistol	false	calm_sarmatyr_pistol	pistol	false
calm_storozhi_rifle	false	calm_storozhi_rifle	repeater_gun	false
calm_straznik_blunderbuss	false	calm_straznik_blunderbuss	blunderbuss	false
calm_urugan_cannon	false	calm_urugan_cannon	orgun_gun	false
calm_voivoda_pistol	false	calm_voivoda_pistol	pistol_Ogre	false
kreml_bomb	true	kreml_bomb		false
mounted_kirasir_pistol	false	calm_kirasir_pistol	pistol	false
