key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_ab_mixu_legendary_lords
mixu_bst_gorehoof_throwing_axes	false	mixu_bst_gorehoof_throwing_axes		false
mixu_dwf_engineer_copter_steam_shot	false	mixu_dwf_engineer_copter_steam_shot	steamgun_copter	false
mixu_dwf_grimm_bomber_clatter_gun	false	mixu_dwf_grimm_bomber_clatter_gun	clattergun	false
mixu_dwf_grimm_copter_brimstone_shot	false	mixu_dwf_grimm_copter_brimstone_shot	brinstone_gun	false
mixu_dwf_grimm_grudge_raker	false	mixu_dwf_grimm_grudge_raker	repeater_gun_LH	false
mixu_dwf_kazador_dragonslayer_crossbow	false	mixu_dwf_kazador_dragonslayer_crossbow	crossbow	false
mixu_emp_alberich_von_korden_pistol	false	mixu_emp_alberich_von_korden_pistol	pistol	false
mixu_emp_cha_ogre_bodyguard_pistol	false	mixu_emp_cha_ogre_bodyguard_pistol	pistol_LH	false
mixu_emp_cha_slayer_engineer_pistol	false	mixu_emp_cha_slayer_engineer_pistol	pistol_LH	false
mixu_emp_cha_slayer_engineer_shotgun	false	mixu_emp_cha_slayer_engineer_shotgun	repeater_gun_LH	false
mixu_emp_daughters_of_rhya_javelin	false	mixu_emp_daughters_of_rhya_javelin	javelin	false
mixu_emp_edvard_van_der_kraal_pistol	false	mixu_emp_edvard_van_der_kraal_pistol	pistol	false
mixu_emp_edvard_van_der_kraal_pistol_horse	false	mixu_emp_edvard_van_der_kraal_pistol_horse	pistol	false
mixu_emp_gunnery_mob_blunderbuss	false	mixu_emp_gunnery_mob_blunderbuss	hand_cannon	false
mixu_tmb_tutankhanut_bow	false	mixu_tmb_tutankhanut_bow	bow_LH	false
mixu_tze_cultists_magic	false	mixu_tze_cultists_magic		false
mixu_tze_trolls_magic_puke	false	mixu_tze_trolls_magic_puke		false
