key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_ab_unwashed_masses
gnob_bloodnose_throwing_dagger	false	gnob_bloodnose_throwing_dagger		false
gnob_gorespittles_throwing_axe	false	gnob_gorespittles_throwing_axe		false
gnob_pigback_riders_javelin	false	gnob_pigback_riders_javelin		false
gnob_powder_sniffers_grenade	false	gnob_powder_sniffers_grenade		false
gnob_ror_boom_squad_scrap_launcher	false	gnob_ror_boom_squad_scrap_launcher		false
gnob_ror_phut_gun_pistol	false	gnob_ror_phut_gun_pistol	pistol	false
gnob_rustbucket_crossbow	false	gnob_rustbucket_crossbow_bolt	crossbow_LH	false
gnob_sabretusk_riders_throwing_dagger	true	gnob_sabretusk_riders_throwing_dagger		false
gnob_skullflingers_sling	false	gnob_skullflingers_sling		false
gnob_torch_gnoblar_grenade	true	gnob_torch_gnoblar_grenade		false
